document_family,document_title,release,source_file,line_number,section,message_id,message_name,message_version,page,direction,source_line
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,47,1.5.8,0514,Track Database Data,3,19,ptc_to_energy_management,1.5.8 Track Database Data (0514) - Version 3 ............................................................................................................................................................. 19
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,48,1.5.9,0520,Summary Train Consist,3,20,ptc_to_energy_management,1.5.9 Summary Train Consist (0520) - Version 3 .......................................................................................................................................................... 20
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,49,1.5.10,0521,Locomotive Run Status,2,22,ptc_to_energy_management,1.5.10 Locomotive Run Status (0521) - Version 2 ........................................................................................................................................................... 22
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,50,1.5.11,0523,Train and Crew Data,3,23,ptc_to_energy_management,1.5.11 Train and Crew Data (0523) - Version 3 .............................................................................................................................................................. 23
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,51,1.5.12,0530,Current Position,3,24,ptc_to_energy_management,1.5.12 Current Position (0530) - Version 3 ..................................................................................................................................................................... 24
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,52,1.5.13,0531,Train Route,3,25,ptc_to_energy_management,1.5.13 Train Route (0531) - Version 3 ............................................................................................................................................................................. 25
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,53,1.5.14,0532,Target List,4,27,ptc_to_energy_management,1.5.14 Target List (0532) - Version 4 .............................................................................................................................................................................. 27
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,54,1.5.15,0533,Speed Restriction List,4,32,ptc_to_energy_management,1.5.15 Speed Restriction List (0533) - Version 4 ............................................................................................................................................................. 32
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,55,1.5.16,0534,Speed Restriction Data,2,34,ptc_to_energy_management,1.5.16 Speed Restriction Data (0534) - Version 2 ........................................................................................................................................................... 34
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,56,1.5.17,0540,EM Banner Display Status,2,38,ptc_to_energy_management,1.5.17 EM Banner Display Status (0540) - Version 2 ..................................................................................................................................................... 38
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,57,1.5.18,0541,EM Soft-Key Status,2,39,ptc_to_energy_management,1.5.18 EM Soft-Key Status (0541) - Version 2 ................................................................................................................................................................. 39
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,58,1.5.19,0542,EM Control Indicator Status,3,40,ptc_to_energy_management,1.5.19 EM Control Indicator Status (0542) - Version 3 .................................................................................................................................................. 40
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,59,1.5.20,0544,ITF/BCP Overlay Status,1,41,ptc_to_energy_management,1.5.20 ITF/BCP Overlay Status (0544) - Version 1 ........................................................................................................................................................ 41
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,213,1.6.1,02000,Verify Employee Info Request,3,74,locomotive_to_office,1.6.1 (02000) Verify Employee Info Request - Version 3 .................................................................................................................................................. 74
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,214,1.6.2,02001,Request Train ID List,1,75,locomotive_to_office,1.6.2 (02001) Request Train ID List - Version 1 ................................................................................................................................................................ 75
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,215,1.6.3,02003,Selected Train ID,3,76,locomotive_to_office,1.6.3 (02003) Selected Train ID - Version 3....................................................................................................................................................................... 76
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,216,1.6.4,02005,Configuration Version List Request,3,78,locomotive_to_office,1.6.4 (02005) Configuration Version List Request - Version 3 .......................................................................................................................................... 78
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,217,1.6.5,02007,Request Train Subdivision/District List,1,79,locomotive_to_office,1.6.5 (02007) Request Train Subdivision/District List - Version 1..................................................................................................................................... 79
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,218,1.6.6,02008,Confirmation of Train Subdivision/District List,2,80,locomotive_to_office,1.6.6 (02008) Confirmation of Train Subdivision/District List - Version 2........................................................................................................................ 80
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,219,1.6.7,02010,Locomotive System State,2,81,locomotive_to_office,1.6.7 (02010) Locomotive System State - Version 2 .......................................................................................................................................................... 81
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,220,1.6.8,02011,Departure Test Report,4,82,locomotive_to_office,1.6.8 (02011) Departure Test Report - Version 4................................................................................................................................................................ 82
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,221,1.6.9,02020,Poll Registration,3,84,locomotive_to_office,1.6.9 (02020) Poll Registration - Version 3 ........................................................................................................................................................................ 84
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,222,1.6.10,02022,Request Current Dataset List,2,85,locomotive_to_office,1.6.10 (02022) Request Current Dataset List - Version 2 ..................................................................................................................................................... 85
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,223,1.6.11,02030,Request Train Consist,1,86,locomotive_to_office,1.6.11 (02030) Request Train Consist - Version 1................................................................................................................................................................ 86
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,224,1.6.12,02031,Confirmation of Train Consist,3,87,locomotive_to_office,1.6.12 (02031) Confirmation of Train Consist - Version 3................................................................................................................................................... 87
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,225,1.6.13,02032,Onboard Train Consist,4,88,locomotive_to_office,1.6.13 (02032) Onboard Train Consist - Version 4............................................................................................................................................................... 88
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,226,1.6.14,02040,Confirmation of Crew Acknowledgement of Bulletin,1,90,locomotive_to_office,1.6.14 (02040) Confirmation of Crew Acknowledgement of Bulletin - Version 1............................................................................................................... 90
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,227,1.6.15,02041,Request Bulletin Dataset,1,91,locomotive_to_office,1.6.15 (02041) Request Bulletin Dataset - Version 1............................................................................................................................................................ 91
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,228,1.6.16,02042,Confirmation of Bulletin Dataset,3,92,locomotive_to_office,1.6.16 (02042) Confirmation of Bulletin Dataset - Version 3............................................................................................................................................... 92
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,229,1.6.17,02043,Confirmation of Bulletin Cancellation,1,93,locomotive_to_office,1.6.17 (02043) Confirmation of Bulletin Cancellation - Version 1....................................................................................................................................... 93
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,230,1.6.18,02050,Crew Authority Request,3,94,locomotive_to_office,1.6.18 (02050) Crew Authority Request - Version 3 ............................................................................................................................................................ 94
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,231,1.6.19,02051,Request Movement Authority Dataset,1,96,locomotive_to_office,1.6.19 (02051) Request Movement Authority Dataset - Version 1....................................................................................................................................... 96
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,232,1.6.20,02052,Confirmation of Movement Authority,3,97,locomotive_to_office,1.6.20 (02052) Confirmation of Movement Authority - Version 3....................................................................................................................................... 97
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,238,1.6.21,02053,Confirmation of Movement Authority Void,1,98,locomotive_to_office,1.6.21 (02053) Confirmation of Movement Authority Void - Version 1.............................................................................................................................. 98
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,239,1.6.22,02054,EMT/PSS Authority Used Notification,2,99,locomotive_to_office,1.6.22 (02054) EMT/PSS Authority Used Notification - Version 2 ..................................................................................................................................... 99
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,240,1.6.23,02060,Confirmation of Crew Message,3,101,locomotive_to_office,1.6.23 (02060) Confirmation of Crew Message - Version 3 ............................................................................................................................................... 101
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,241,1.6.24,02061,Crew Acknowledgement of Mandatory Directive Status,2,102,locomotive_to_office,1.6.24 (02061) Crew Acknowledgement of Mandatory Directive Status - Version 2 ........................................................................................................ 102
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,242,1.6.25,02062,Confirmation of Bulletin Sequence,2,104,locomotive_to_office,1.6.25 (02062) Confirmation of Bulletin Sequence - Version 2 ......................................................................................................................................... 104
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,243,1.6.26,02070,Onboard Violation Report,4,105,locomotive_to_office,1.6.26 (02070) Onboard Violation Report - Version 4 ....................................................................................................................................................... 105
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,244,1.6.27,02071,Confirmation of Violation Report,2,107,locomotive_to_office,1.6.27 (02071) Confirmation of Violation Report - Version 2............................................................................................................................................ 107
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,245,1.6.28,02072,Onboard Violation Cleared,2,108,locomotive_to_office,1.6.28 (02072) Onboard Violation Cleared - Version 2...................................................................................................................................................... 108
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,246,1.6.29,02073,Confirmation of Violation Cleared,1,109,locomotive_to_office,1.6.29 (02073) Confirmation of Violation Cleared - Version 1 .......................................................................................................................................... 109
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,247,1.6.30,02080,Locomotive Position Report,4,110,locomotive_to_office,1.6.30 (02080) Locomotive Position Report - Version 4 .................................................................................................................................................... 110
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,248,1.6.31,02081,Locomotive Fault Summary Report,3,113,locomotive_to_office,1.6.31 (02081) Locomotive Fault Summary Report - Version 3......................................................................................................................................... 113
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,249,1.6.32,02082,PTC Interaction,2,115,locomotive_to_office,1.6.32 (02082) PTC Interaction - Version 2........................................................................................................................................................................ 115
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,250,1.6.33,02083,Enforcement Warning/Braking Notification,4,116,locomotive_to_office,1.6.33 (02083) Enforcement Warning/Braking Notification - Version 4............................................................................................................................ 116
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,251,1.6.34,02084,Emergency Brake Application Report,3,121,locomotive_to_office,1.6.34 (02084) Emergency Brake Application Report - Version 3 ..................................................................................................................................... 121
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,252,1.6.35,02085,Train Handling Exception Report,4,124,locomotive_to_office,1.6.35 (02085) Train Handling Exception Report - Version 4............................................................................................................................................ 124
office_locomotive,PTC Office-Locomotive Segment ICD,2.11.1,exports\manuals\icd_training\Office-Locomotive_Segment_ICD__2.11.1_.txt,253,1.6.36,02086,Acknowledge Conditional Authority Report,1,127,locomotive_to_office,1.6.36 (02086) Acknowledge Conditional Authority Report - Version 1 ........................................................................................................................... 127
