document_family,document_title,release,source_file,heading_line_number,section,detail_code,message_id,toc_message_name,toc_message_version,toc_page,detail_message_name,detail_message_version,direction,description,related_message_ids,functional_content_excerpt,has_functional_content,version_conflict_with_catalog,source_heading_line
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,471,1.5.6,L2I162,0510,Track Database Information,3,17,Track Database Information,3,ptc_to_energy_management,,0612,,False,False,1.5.6 L2I162 Track Database Information (0510) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,494,1.5.7,L2I163,0511,Track Clear,3,18,Track Clear,3,ptc_to_energy_management,,,,False,False,1.5.7 L2I163 Track Clear (0511) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,514,1.5.8,L2I345,0514,Track Database Data,3,19,Track Database Data,3,ptc_to_energy_management,,0614,,False,False,1.5.8 L2I345 Track Database Data (0514) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,551,1.5.9,L2I165,0520,Summary Train Consist,3,20,Summary Train Consist,3,ptc_to_energy_management,,"01030,0620",,False,False,1.5.9 L2I165 Summary Train Consist (0520) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,634,1.5.10,L2I166,0521,Locomotive Run Status,2,22,Locomotive Run Status,2,ptc_to_energy_management,,0621,,False,False,1.5.10 L2I166 Locomotive Run Status (0521) - Version 2
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,662,1.5.11,L2I167,0523,Train and Crew Data,3,23,Train and Crew Data,3,ptc_to_energy_management,,0623,,False,False,1.5.11 L2I167 Train and Crew Data (0523) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,698,1.5.12,L2I168,0530,Current Position,3,24,Current Position,3,ptc_to_energy_management,,0530,,False,False,1.5.12 L2I168 Current Position (0530) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,725,1.5.13,L2I169,0531,Train Route,3,25,Train Route,3,ptc_to_energy_management,,0531,,False,False,1.5.13 L2I169 Train Route (0531) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,786,1.5.14,L2I170,0532,Target List,4,27,Target List,4,ptc_to_energy_management,,"0532,0632",,False,False,1.5.14 L2I170 Target List (0532) - Version 4
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,959,1.5.15,L2I171,0533,Speed Restriction List,4,32,Speed Restriction List,4,ptc_to_energy_management,,"01041,01051,0500,0533,0534,0600,0633",,False,False,1.5.15 L2I171 Speed Restriction List (0533) - Version 4
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1022,1.5.16,L2I470,0534,Speed Restriction Data,2,34,Speed Restriction Data,2,ptc_to_energy_management,,"01041,01051,0500,0533,0534,0634",,False,False,1.5.16 L2I470 Speed Restriction Data (0534) - Version 2
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1175,1.5.17,L2I172,0540,EM Banner Display Status,2,38,EM Banner Display Status,2,ptc_to_energy_management,,"0540,0640",,False,False,1.5.17 L2I172 EM Banner Display Status (0540) - Version 2
