"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME"
"dbo","tblPassengerInformationSystem","TrackReportingGUID"
"dbo","tblPassengerInformationSystem","XMLMessage"
"dbo","tblPlanningAutoRoutesActive","TrainSymbol"
"dbo","tblPlanningAutoRoutesActive","TrainGUID"
"dbo","tblPlanningAutoRoutesActive","SignalRouteGUID"
"dbo","tblPlanningAutoRoutesActive","RouteStatus"
"dbo","tblPlanningAutoRoutesActive","StoredRouteUID"
"dbo","tblPlanningAutoRoutesActive","ControlPointUID"
"dbo","tblPlanningAutoRoutesInActive","TrainSymbol"
"dbo","tblPlanningAutoRoutesInActive","TrainGUID"
"dbo","tblPlanningAutoRoutesInActive","SignalRouteGUID"
"dbo","tblPlanningAutoRoutesInActive","RouteStatus"
"dbo","tblPlanningAutoRoutesInActive","StoredRouteUID"
"dbo","tblPlanningAutoRoutesInActive","ControlPointUID"
"dbo","tblPlanningMovementPlansActive","TrainSymbol"
"dbo","tblPlanningMovementPlansActive","RouteData"
"dbo","tblPlanningMovementPlansInActive","TrainSymbol"
"dbo","tblPlanningMovementPlansInActive","RouteData"
"dbo","tblPlanningTacticalRoutesActive","TrainSymbol"
"dbo","tblPlanningTacticalRoutesActive","TrainGUID"
"dbo","tblPlanningTacticalRoutesActive","SignalRouteGUID"
"dbo","tblPlanningTacticalRoutesActive","RouteStatus"
"dbo","tblPlanningTacticalRoutesActive","StoredRouteUID"
"dbo","tblPlanningTacticalRoutesActive","ControlPointUID"
"dbo","tblPlanningTacticalRoutesInActive","TrainSymbol"
"dbo","tblPlanningTacticalRoutesInActive","TrainGUID"
"dbo","tblPlanningTacticalRoutesInActive","SignalRouteGUID"
"dbo","tblPlanningTacticalRoutesInActive","RouteStatus"
"dbo","tblPlanningTacticalRoutesInActive","StoredRouteUID"
"dbo","tblPlanningTacticalRoutesInActive","ControlPointUID"
"dbo","tblPlanningTrackReservationsActive","MessageData"
