"Symbol","EngineID","Direction","TrainType","Origin","Dest","Subdivision","TrackGUID","TrackComponentName","TrackName","TrackAlias","TrackRouteName","ControlPointName","TrainGUID","TrainLink","ScheduleStatus","PTCStatus","BulletinRouteCode","AuthorityDesignation","CTCAuthorityDesignation","HomeRoadCode","ActiveSubTrainSheet"
"C63","","EAST","COMMUTER","","","0","0",,,,,,"0E8F03B8-A4E6-49A6-9C71-97D174DA21AD","","",,,,,"NCTC","BC8F3A51-E8C0-42A2-A903-63CA6000EF05"
"C630","NCTC  2308","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"be903e43-bacd-4d05-a2ba-e6645a8770b1","","NONE",,"SANDIE",,,"NCTC","0D582B8F-082D-4798-846D-34B8C53DF111"
"C631","NCTC  5005","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"add89919-62dd-4c37-b642-d4bd5f0a791b","","NONE",,"SANDIE",,,"NCTC","B4D16CC8-37F8-49CB-9337-BD9E31E71A46"
"C632","NCTC  2306","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"113de0c5-4e79-4b13-ad37-6b0143666707","","NONE",,"SANDIE",,,"NCTC","40CE649F-D7AF-46DD-905D-9BE2D354E8AE"
"C633","NCTC  5006","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"82316c2b-cef9-48e2-97ee-2f1842fd0af5","","NONE",,"SANDIE",,,"NCTC","D4C8E351-827C-4289-A755-0124DA34E8E6"
"C634","NCTC   423","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"b62cf9a3-95c9-4af3-b7ac-4806dbc982d0","","NONE",,"SANDIE",,,"NCTC","E108534C-688A-4685-A9DA-F1E2A663A77B"
"C635","NCTC  5008","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"c84514f8-151a-4bed-a773-4c42b6d32cd4","","NONE",,"SANDIE",,,"NCTC","EB4DB8FF-E413-4B1A-B6CE-B64004E5C9FD"
"C636","NCTC  2308","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"b7e6a996-18f6-4281-9bd8-2e431b4fa754","","NONE",,"SANDIE",,,"NCTC","1C2F1F0E-36E8-41AA-8B54-7E10FCBA005C"
"C637","NCTC  5005","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"798761f2-4b14-4402-8515-86b7aa94e217","","NONE",,"SANDIE",,,"NCTC","51C1527B-3947-43FC-A7F0-88141AE350B7"
"C638","NCTC  2309","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"00aae270-8ae6-45aa-927d-ce45198910ec","","NONE",,"SANDIE",,,"NCTC","FD0251A1-6CAA-4FAF-BE43-754E53778E97"
"C638DH","NCTC  2309","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"8037006c-c755-453b-be7f-03a662c1b41a","","NONE",,"SANDIE",,,"NCTC","92AE0297-CB86-446C-A3BA-296E7DF75F28"
"C639","NCTC  5001","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"c341dc2c-96d8-445f-8689-cdef7caa9f16","","NONE",,"SANDIE",,,"NCTC","FEEE41E1-00A7-45B6-A801-A6A098FE1678"
"C639DH","NCTC  5001","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"d987518f-3a8b-4b17-907c-e12f06f30048","","NONE",,"SANDIE",,,"NCTC","1ABDF7A2-FCD2-4A98-A384-E05992D9F96E"
"C640","NCTC  2306","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"cfc31b0f-aa7b-4eea-9a12-98b475136b37","","NONE",,"SANDIE",,,"NCTC","7B1678E0-5A1D-47C8-B581-A9A750A176B7"
"C641","NCTC  5006","WEST","COMMUTER","SAN DIEGO","SAN DIEGO","0","0",,,,,,"de8632ce-76fe-4537-8b8f-1f9a5cca9adc","","NONE",,"SANDIE",,,"NCTC","EDBF0261-2EFD-4254-BF2D-388B64F417DE"
"C642","NCTC   423","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"5f797cae-20ef-40c7-8e8b-38a8c09e540c","","NONE",,"SANDIE",,,"NCTC","0C07BECF-897A-4458-8C1A-72C06FD31689"
"C643","NCTC  5008","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"88dd15d1-c212-4a37-a26e-bc8ce8436530","","NONE",,"SANDIE",,,"NCTC","13927011-EDE0-412D-8708-28C8A8EECEA8"
"C643DH","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"918e9026-6e2c-4fc1-872a-981397449738","","NONE",,"SANDIE",,,"NCTC","1B362067-E70B-4AA8-B27C-916794DF4387"
"C644","NCTC  2308","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"57250621-4129-4a75-9ea2-a98d449f289a","","NONE",,"SANDIE",,,"NCTC","F70CCD4E-A55F-4F32-A3CD-3C95645E0D8B"
"C645","NCTC  5005","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"e81cb87b-6fe9-463b-b228-9975c5544996","","NONE",,"SANDIE",,,"NCTC","913764EA-15F2-4E70-BE2C-D92B8C856FB4"
"C645DH","NCTC  5005","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"f5eae51b-3466-419e-8777-2970f9e63e4f","","NONE",,"SANDIE",,,"NCTC","3FA0D271-FB43-4273-96EA-E4CAB69924CD"
"C646","NCTC  2306","EAST","COMMUTER","OCEANSIDE","OCEANSIDE","0","0",,,,,,"c24512fb-36e9-4527-8660-9c1e8d552188","","NONE",,"SANDIE",,,"NCTC","CA8E1ECB-BD8C-4C26-AFDE-7FA05A7C09E3"
"C647","NCTC  5006","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"2ed8830a-70a3-4e63-bf7e-1c1ee39ece25","","NONE",,"SANDIE",,,"NCTC","DA2A77B6-8830-4AA1-BD60-E68E10F1E812"
"C647DH","NCTC  5006","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"f35b160f-b42b-45cd-8a47-c01e94f2dbfb","","NONE",,"SANDIE",,,"NCTC","EA812D44-6273-4E9F-BA22-816474935B60"
"C648","NCTC   423","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"965d2a4f-9289-4a22-ab79-17f16c6e7bd1","","NONE",,"SANDIE",,,"NCTC","4326B5F5-2647-4700-A44F-D1492346D45D"
"C649","NCTC  5008","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"16672d1e-124e-4251-926b-42957b7a15d3","","NONE",,"SANDIE",,,"NCTC","704A6187-4E96-4ABF-B6C7-DD15614AC39F"
"C649DH","NCTC  5008","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"46b02176-3935-4386-adcf-0e59da4ca586","","NONE",,"SANDIE",,,"NCTC","0274CAF7-68E8-496B-96D4-4CF1830A2B6B"
"C650","","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","NONE","0",,,,,,"3cb44e08-0e64-44ef-b931-37810172a48d","","NONE",,"SANDIE",,,"NCTC","F53A6112-1152-4E01-9D08-B6ACFC9C2D02"
"C650DH","","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","NONE","0",,,,,,"2030f4a7-cac6-4352-970b-29ae31977766","","NONE",,"SANDIE",,,"NCTC","F3379890-6860-45F7-BBAD-A7E2428BE52F"
"C651","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"7d54a5d7-a8e0-4ce4-b61d-cdb01e900a5c","","NONE",,"SANDIE",,,"NCTC","ACCCD669-B3A3-4E05-8E29-0DB3160EDDEC"
"C651DH","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"3436dc4f-662f-4fd9-9c17-ad6128d9eb6b","","NONE",,"SANDIE",,,"NCTC","7AD9ED5E-6F87-4CDF-94D5-722DBC2E19D3"
"C653","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"e8d8ddc6-5d0b-4c16-8b9a-fab9ea8df6e4","","NONE",,"SANDIE",,,"NCTC","9491C455-80FD-4BEC-8094-3BE52CC584D1"
"C654","","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","NONE","0",,,,,,"c259fa96-0245-4dca-abb7-0c2faf50d661","","NONE",,"SANDIE",,,"NCTC","480FD64F-D849-4B0D-99C5-DEE0B136D438"
"C655","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"954b07c1-4513-453b-a3ea-598b1d4d875d","","NONE",,"SANDIE",,,"NCTC","01534428-F26B-47CB-B7EA-E81822C8D3ED"
"C660","","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","NONE","0",,,,,,"4d884cb6-5ed9-4e49-ab0f-80597c7711ff","","NONE",,"SANDIE",,,"NCTC","8031BAF2-0854-41DE-8F49-B4ABAFEFD5CB"
"C663","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"7112bb3d-1d0c-4b54-a143-6268f0a8acb3","","NONE",,"SANDIE",,,"NCTC","8F4702A2-3C18-484A-9542-914B462372DA"
"C663DH","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"842b3999-bc6d-4356-9aca-b3dba18973ff","","NONE",,"SANDIE",,,"NCTC","2368203B-1580-4F94-A819-D0F28B18721D"
