"UID","ControlPoint","ControlPointName","Name","Type","TypeOfDevice","DeviceCategory","SecondaryText","DeviceControl","ControlOnly","IndicateOnly","FlashControl","FlashIndicate","ScadaMode","TrackInterlockMode","Codeline","CPCTL1","CPCTL2","CPCTL3","CPIND1","CPIND2","CPIND3","TerritoryAssignment","Subdivision","SubdivisionName","TrackGUID","TrackComponentName","TrackName","TrackAlias","Notes"
"200703","200004","WYE","1012DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","8","0;1;200004;","0;1;200004;","0;1;200004;","30;1;200004;8","0;1;200004;0001","0;1;200004;0001","200","1","ESCONDIDO","",,,,"NONE"
"200715","200008","EL CAMINO","1032POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","11","0;1;200008;","0;1;200008;","0;1;200008;","25;1;200008;11","0;1;200008;0001","0;1;200008;0001","200","1","ESCONDIDO","",,,,"NONE"
"200716","200008","EL CAMINO","1032DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","11","0;1;200008;","0;1;200008;","0;1;200008;","26;1;200008;11","0;1;200008;0001","0;1;200008;0001","200","1","ESCONDIDO","",,,,"NONE"
"200717","200008","EL CAMINO","1037DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","11","0;1;200008;","0;1;200008;","0;1;200008;","28;1;200008;11","0;1;200008;11","0;1;200008;11","200","1","ESCONDIDO","",,,,"NONE"
"200718","200008","EL CAMINO","1037POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","11","0;1;200008;","0;1;200008;","0;1;200008;","27;1;200008;11","0;1;200008;0001","0;1;200008;0001","200","1","ESCONDIDO","",,,,"NONE"
"200738","200007","SCHOOL","1051POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","13","0;1;200007;","0;1;200007;","0;1;200007;","17;1;200007;13","0;1;200007;0001","0;1;200007;0001","200","1","ESCONDIDO","",,,,"NONE"
"200739","200007","SCHOOL","1051DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","13","0;1;200007;","0;1;200007;","0;1;200007;","18;1;200007;13","0;1;200007;0001","0;1;200007;0001","200","1","ESCONDIDO","",,,,"NONE"
"200740","200007","SCHOOL","1054POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","13","0;1;200007;","0;1;200007;","0;1;200007;","19;1;200007;13","0;1;200007;0001","0;1;200007;0001","200","1","ESCONDIDO","",,,,"NONE"
"200741","200007","SCHOOL","1054DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","13","0;1;200007;","0;1;200007;","0;1;200007;","20;1;200007;13","0;1;200007;0001","0;1;200007;0001","200","1","ESCONDIDO","",,,,"NONE"
"200742","200007","SCHOOL","1055POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","13","0;1;200007;","0;1;200007;","0;1;200007;","21;1;200007;13","0;1;200007;0001","0;1;200007;0001","200","1","ESCONDIDO","",,,,"NONE"
"200743","200007","SCHOOL","1055DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","13","0;1;200007;","0;1;200007;","0;1;200007;","22;1;200007;13","0;1;200007;0001","0;1;200007;0001","200","1","ESCONDIDO","",,,,"NONE"
"200744","200007","SCHOOL","1056POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","13","0;1;200007;","0;1;200007;","0;1;200007;","23;1;200007;13","0;1;200007;0001","0;1;200007;0001","200","1","ESCONDIDO","",,,,"NONE"
"200745","200007","SCHOOL","1056DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","13","0;1;200007;","0;1;200007;","0;1;200007;","24;1;200007;13","0;1;200007;0001","0;1;200007;0001","200","1","ESCONDIDO","",,,,"NONE"
"200746","200007","SCHOOL","1064POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","13","0;1;200007;","0;1;200007;","0;1;200007;","25;1;200007;13","0;1;200007;0001","0;1;200007;0001","200","1","ESCONDIDO","",,,,"NONE"
"200747","200007","SCHOOL","1064DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","13","0;1;200007;","0;1;200007;","0;1;200007;","26;1;200007;13","0;1;200007;0001","0;1;200007;0001","200","1","ESCONDIDO","",,,,"NONE"
"200748","200007","SCHOOL","1069POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","13","0;1;200007;","0;1;200007;","0;1;200007;","27;1;200007;13","0;1;200007;0001","0;1;200007;0001","200","1","ESCONDIDO","",,,,"NONE"
"200749","200007","SCHOOL","1069DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","13","0;1;200007;","0;1;200007;","0;1;200007;","28;1;200007;13","0;1;200007;0001","0;1;200007;0001","200","1","ESCONDIDO","",,,,"NONE"
"200753","200009","MELROSE","1072POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","14","0;1;200009;","0;1;200009;","0;1;200009;","18;1;200009;14","0;1;200009;0001","0;1;200009;0001","200","1","ESCONDIDO","",,,,"NONE"
"200754","200009","MELROSE","1072DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","14","0;1;200009;","0;1;200009;","0;1;200009;","19;1;200009;14","0;1;200009;0001","0;1;200009;0001","200","1","ESCONDIDO","",,,,"NONE"
"200757","200010","ANGEL","1082POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","15","0;1;200010;","0;1;200010;","0;1;200010;","25;1;200010;15","0;1;200010;0001","0;1;200010;0001","200","1","ESCONDIDO","",,,,"NONE"
"200758","200010","ANGEL","1082DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","15","0;1;200010;","0;1;200010;","0;1;200010;","26;1;200010;15","0;1;200010;0001","0;1;200010;0001","200","1","ESCONDIDO","",,,,"NONE"
"200759","200010","ANGEL","1085POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","15","0;1;200010;","0;1;200010;","0;1;200010;","27;1;200010;15","0;1;200010;0001","0;1;200010;0001","200","1","ESCONDIDO","",,,,"NONE"
"200760","200010","ANGEL","1085DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","15","0;1;200010;","0;1;200010;","0;1;200010;","28;1;200010;15","0;1;200010;0001","0;1;200010;0001","200","1","ESCONDIDO","",,,,"NONE"
"200761","200010","ANGEL","1088POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","15","0;1;200010;","0;1;200010;","0;1;200010;","29;1;200010;15","0;1;200010;0001","0;1;200010;0001","200","1","ESCONDIDO","",,,,"NONE"
