"UID","ControlPoint","ControlPointName","Name","Type","TypeOfDevice","DeviceCategory","SecondaryText","DeviceControl","ControlOnly","IndicateOnly","FlashControl","FlashIndicate","ScadaMode","TrackInterlockMode","Codeline","CPCTL1","CPCTL2","CPCTL3","CPIND1","CPIND2","CPIND3","TerritoryAssignment","Subdivision","SubdivisionName","TrackGUID","TrackComponentName","TrackName","TrackAlias","Notes"
"200818","200026","HOLDOUT","1196POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","26","0;1;200026;","0;1;200026;","0;1;200026;","9;1;200026;26","0;1;200026;26","0;1;200026;26","200","1","ESCONDIDO","",,,,"NONE"
"200819","200026","HOLDOUT","1199DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","26","0;1;200026;","0;1;200026;","0;1;200026;","12;1;200026;26","0;1;200026;26","0;1;200026;26","200","1","ESCONDIDO","",,,,"NONE"
"200820","200026","HOLDOUT","1202POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","26","0;1;200026;","0;1;200026;","0;1;200026;","13;1;200026;0026","0;1;200026;0026","0;1;200026;0026","200","1","ESCONDIDO","",,,,"NONE"
"200822","200027","YARD","1208POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","27","0;1;200027;","0;1;200027;","0;1;200027;","43;1;200027;27","0;1;200027;27","0;1;200027;27","200","1","ESCONDIDO","",,,,"NONE"
"200824","200027","YARD","1207POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","27","0;1;200027;","0;1;200027;","0;1;200027;","41;1;200027;27","0;1;200027;27","0;1;200027;27","200","1","ESCONDIDO","",,,,"NONE"
"200825","200027","YARD","1206DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","27","0;1;200027;","0;1;200027;","0;1;200027;","40;1;200027;27","0;1;200027;27","0;1;200027;27","200","1","ESCONDIDO","",,,,"NONE"
"200826","200027","YARD","1206POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","27","0;1;200027;","0;1;200027;","0;1;200027;","39;1;200027;27","0;1;200027;27","0;1;200027;27","200","1","ESCONDIDO","",,,,"NONE"
"200827","200027","YARD","1208DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","27","0;1;200027;","0;1;200027;","0;1;200027;","44;1;200027;27","0;1;200027;27","0;1;200027;27","200","1","ESCONDIDO","",,,,"NONE"
"200828","200027","YARD","1212POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","27","0;1;200027;","0;1;200027;","0;1;200027;","45;1;200027;27","0;1;200027;27","0;1;200027;27","200","1","ESCONDIDO","",,,,"NONE"
"200829","200027","YARD","1212DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","27","0;1;200027;","0;1;200027;","0;1;200027;","46;1;200027;27","0;1;200027;27","0;1;200027;27","200","1","ESCONDIDO","",,,,"NONE"
"200830","200027","YARD","12125POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","27","0;1;200027;","0;1;200027;","0;1;200027;","47;1;200027;27","0;1;200027;27","0;1;200027;27","200","1","ESCONDIDO","",,,,"NONE"
"200831","200027","YARD","12125DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","27","0;1;200027;","0;1;200027;","0;1;200027;","48;1;200027;27","0;1;200027;27","0;1;200027;27","200","1","ESCONDIDO","",,,,"NONE"
"200904","200000","OCEAN","997pok","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","6","0;1;200000;","0;1;200000;","0;1;200000;","21;1;200000;0006","0;1;200000;0006","0;1;200000;0006","200","1","ESCONDIDO","",,,,"NONE"
"200905","200000","OCEAN","997dok","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","6","0;1;200000;","0;1;200000;","0;1;200000;","22;1;200000;0006","0;1;200000;0006","0;1;200000;0006","200","1","ESCONDIDO","",,,,"NONE"
"200906","200000","OCEAN","995pok","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","6","0;1;200000;","0;1;200000;","0;1;200000;","17;1;200000;0006","0;1;200000;0006","0;1;200000;0006","200","1","ESCONDIDO","",,,,"NONE"
"200907","200000","OCEAN","995dok","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","6","0;1;200000;","0;1;200000;","0;1;200000;","18;1;200000;0006","0;1;200000;0006","0;1;200000;0006","200","1","ESCONDIDO","",,,,"NONE"
"200909","200000","OCEAN","995LOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","6","0;1;200000;","0;1;200000;","0;1;200000;","20;1;200000;0006","0;1;200000;0006","0;1;200000;0006","200","1","ESCONDIDO","",,,,"NONE"
"200924","200005","CROUCH","1015POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","9","0;1;200005;","0;1;200005;","0;1;200005;","17;1;200005;9","0;1;200005;9","0;1;200005;9","200","1","ESCONDIDO","",,,,"NONE"
"200925","200005","CROUCH","1015DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","9","0;1;200005;","0;1;200005;","0;1;200005;","18;1;200005;9","0;1;200005;9","0;1;200005;9","200","1","ESCONDIDO","",,,,"NONE"
"200931","200003","TRUE","1020POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","10","0;1;200003;","0;1;200003;","0;1;200003;","17;1;200003;10","0;1;200003;10","0;1;200003;10","200","1","ESCONDIDO","",,,,"NONE"
"200932","200003","TRUE","1020DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","10","0;1;200003;","0;1;200003;","0;1;200003;","18;1;200003;10","0;1;200003;10","0;1;200003;10","200","1","ESCONDIDO","",,,,"NONE"
"200976","200002","RAILROAD","EAST TRAFFIC","D","ArrowRight",,"NONE;-1",";-;","False","False","False","False","False","False","7","23;1;200002;","0;1;200002;","0;1;200002;","23;1;200002;7","0;1;200002;7","0;1;200002;7","200","1","ESCONDIDO","",,,,"NONE"
"200978","200002","RAILROAD","WEST TRAFFIC","D","ArrowLeft",,"NONE;-1",";-;","False","False","False","False","False","False","7","24;1;200002;","0;1;200002;","0;1;200002;","24;1;200002;7","0;1;200002;7","0;1;200002;7","200","1","ESCONDIDO","",,,,"NONE"
