"Id","LocomotiveId","Last2100","IcdInterfaceVersion"
"22693","AMTK   107","2026-03-24 오전 8:57:17","BOS_ICD_3_0"
"12941","CDTX  2002","2026-03-24 오전 8:57:02","BOS_ICD_3_0"
"23568","BNSF  1708","2026-03-24 오전 8:57:00","ICD_4_0"
"25861","BNSF  1938","2026-03-24 오전 8:56:57","BOS_ICD_3_0"
"28092","BNSF  8411","2026-03-24 오전 8:56:56","ICD_4_0"
"14728","BNSF   515","2026-03-24 오전 8:56:53","BOS_ICD_3_0"
"23773","BNSF  9112","2026-03-24 오전 8:56:43","BOS_ICD_3_0"
"22202","BNSF  1613","2026-03-24 오전 8:56:39","BOS_ICD_3_0"
"25260","BNSF  5134","2026-03-24 오전 8:56:33","BOS_ICD_3_0"
"28057","AMTK   205","2026-03-24 오전 8:56:32","BOS_ICD_3_0"
"29281","BNSF   286","2026-03-24 오전 8:56:31","BOS_ICD_3_0"
"17896","BNSF  5249","2026-03-24 오전 8:56:30","ICD_4_0"
"19426","BNSF  5947","2026-03-24 오전 8:56:28","BOS_ICD_3_0"
"23613","BNSF  1757","2026-03-24 오전 8:56:26","ICD_4_0"
"26458","BNSF  7899","2026-03-24 오전 8:56:24","ICD_4_0"
"29148","BNSF  6670","2026-03-24 오전 8:56:23","BOS_ICD_3_0"
"27782","BNSF   723","2026-03-24 오전 8:56:17","BOS_ICD_3_0"
"24755","BNSF  4269","2026-03-24 오전 8:56:16","BOS_ICD_3_0"
"24977","BNSF  7901","2026-03-24 오전 8:56:15","BOS_ICD_3_0"
"30256","BNSF  7641","2026-03-24 오전 8:56:11","BOS_ICD_3_0"
"26424","BNSF  4690","2026-03-24 오전 8:56:09","BOS_ICD_3_0"
"19096","BNSF  5663","2026-03-24 오전 8:56:00","BOS_ICD_3_0"
"26080","BNSF  6346","2026-03-24 오전 8:55:59","ICD_4_0"
"24189","BNSF  2949","2026-03-24 오전 8:55:52","BOS_ICD_3_0"
"29976","BNSF  1976","2026-03-24 오전 8:55:48","ICD_4_0"
"23866","BNSF  1411","2026-03-24 오전 8:55:37","BOS_ICD_3_0"
"12433","AMTK    22","2026-03-24 오전 8:55:37","BOS_ICD_3_0"
"26423","BNSF  1721","2026-03-24 오전 8:55:33","BOS_ICD_3_0"
"26452","BNSF  4993","2026-03-24 오전 8:55:32","BOS_ICD_3_0"
"29444","BNSF  5202","2026-03-24 오전 8:55:25","BOS_ICD_3_0"
"23369","BNSF  7683","2026-03-24 오전 8:55:20","BOS_ICD_3_0"
"12792","AMTK    61","2026-03-24 오전 8:55:13","BOS_ICD_3_0"
"29560","BNSF  5296","2026-03-24 오전 8:55:13","ICD_4_0"
"24824","BNSF  6901","2026-03-24 오전 8:55:09","BOS_ICD_3_0"
"20701","BNSF  6593","2026-03-24 오전 8:55:07","BOS_ICD_3_0"
"26090","BNSF   266","2026-03-24 오전 8:55:06","BOS_ICD_3_0"
"22624","BNSF  4063","2026-03-24 오전 8:54:51","ICD_4_0"
"25627","BNSF  1666","2026-03-24 오전 8:54:47","BOS_ICD_3_0"
"28842","BNSF  5082","2026-03-24 오전 8:54:44","ICD_4_0"
"25235","BNSF  7202","2026-03-24 오전 8:54:43","BOS_ICD_3_0"
"24578","BNSF  1443","2026-03-24 오전 8:54:36","BOS_ICD_3_0"
"15333","AMTK  7911","2026-03-24 오전 8:54:30","BOS_ICD_3_0"
"25157","BNSF  1574","2026-03-24 오전 8:54:22","BOS_ICD_3_0"
"26097","BNSF  6555","2026-03-24 오전 8:54:21","ICD_4_0"
"26465","BNSF  7058","2026-03-24 오전 8:54:15","BOS_ICD_3_0"
"25731","BNSF  7738","2026-03-24 오전 8:54:10","ICD_4_0"
"26552","BNSF  6194","2026-03-24 오전 8:53:45","ICD_4_0"
"28877","BNSF  7455","2026-03-24 오전 8:53:43","BOS_ICD_3_0"
