"WordType","CDLNNumber","CSNumber","CPNumber","BPAssignment","Mnemonic","LongName","BitType","UID","CodeLineName","CodeLineLimits","LegacyType","SessionProtocol","NormalCodeserverName","StandbyCodeserverName","PacketSwitchPName","PacketSwitchSName","StationName","ControlAddress","IndicationAddress","NumberOfControls","NumberOfIndications","WaysideATCSAddress","WaysideEMPAddress","ControlPointName","PTCSiteName","SubdivisionUID","SubdivisionName","TerritoryAssignment"
"C","5","1","100002","6","2WGHS","2 WESTBOUND SIGNAL CONTROL","None","D03CB7B3-BA10-42D4-9B75-9C1BC0856D99","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","7","4EGHS","4 EASTBOUND SIGNAL CONTROL","None","91490C7B-AD93-4D31-BD6E-6F7CB6797269","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","8","4WGHS","4 WESTBOUND SIGNAL CONTROL","None","91DE79CA-336C-40FC-ABF9-0C78B26356E9","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","9","BLANK","BLANK CONTROL","None","521AA708-F8A2-4A91-8215-4A741998AF49","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","10","BLANK","BLANK CONTROL","None","6E7C4B3A-9F18-41AB-8F63-89480799342E","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","11","BLANK","BLANK CONTROL","None","AC23299F-FB3B-4160-B598-0E7A843A08F8","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","12","BLANK","BLANK CONTROL","None","5DC7BDF1-7C74-4550-8F4C-BE82B5B0553B","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","13","BLANK","BLANK CONTROL","None","D6A01453-5D13-43CD-93DF-49B91495D28D","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","14","BLANK","BLANK CONTROL","None","A5B548B5-A184-4BDC-8B34-052EF06A7200","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","15","BLANK","BLANK CONTROL","None","B3EC0AE8-AEBA-406C-A24D-66BA63414D12","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","16","BLANK","BLANK CONTROL","None","4EC6AADD-AA7A-4C3B-8F83-1B4AAAF71B63","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","17","BLANK","BLANK CONTROL","None","0F688F9E-C4F5-4A34-8E22-D89D332D171A","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","18","BLANK","BLANK CONTROL","None","85A6838A-A6B5-48BF-A3D5-9D207467E350","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","19","BLANK","BLANK CONTROL","None","86C3E6F7-C380-4106-887C-15F3D3C29E0A","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","20","BLANK","BLANK CONTROL","None","88A4E67B-3532-4D4A-95D9-A6C7DE8B27AB","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","21","BLANK","BLANK CONTROL","None","B2ADD1C7-BE6A-485C-9340-C0104FE82864","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","22","BLANK","BLANK CONTROL","None","01D405B2-3FD0-49AA-8597-617D39CCC145","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","23","BLANK","BLANK CONTROL","None","65232219-D379-4079-B9B8-21E0D0AAE387","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","24","BLANK","BLANK CONTROL","None","FD3D6262-5546-49FE-8B06-3ED73DBBCA2E","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"I","5","1","100002","1","1NWK","1 NORMAL SWITCH INDICATION","None","BAD87FEE-2702-435A-A840-2EAD19AA85AF","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"I","5","1","100002","2","1RWK","1 REVERSE SWITHC INDICATION","None","75C48F9D-B577-40F0-A4DE-BFADB9342FFD","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
