"TrainSheetGUID","OsPoint","OsTime","TrackGUID","SubName","ReportData","RecordGUID","Direction","EventCreator"
"D9A854AF-E94F-41A3-8AFC-E35F76690015","PACIFIC","2026-03-23 오후 10:50:57","100701","SAN DIEGO","RCAL0153 23|3/23/2026 22:50:57|4|0|530|358||BNSF   154;|PACIFIC|100011||NONE|0|BNSF   171|NONE|","8066A6E2-71AF-49CF-9F28-35948C624599",,"ANDROVICH, ERINA {EAA}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","SONGS","2026-03-23 오후 10:49:33","100117","SAN DIEGO","VSBDSDG4 23|3/23/2026 22:49:33|0|56|2878|5400||BNSF  6142;|SONGS|100001||NONE|0|BNSF  8368|NONE|","62C83404-7605-4F02-8C02-7D68B1AAFB4D",,"ANDROVICH, ERINA {EAA}"
"D9A854AF-E94F-41A3-8AFC-E35F76690015","SHELL","2026-03-23 오후 10:49:17","100246","SAN DIEGO","RCAL0153 23|3/23/2026 22:49:17|4|0|530|358||BNSF   154;|SHELL|100012||NONE|0|BNSF   171|NONE|","A66EDB72-BC45-4D3D-B1F4-3596953C06FF",,"ANDROVICH, ERINA {EAA}"
"D9A854AF-E94F-41A3-8AFC-E35F76690015","EAST BROOK","2026-03-23 오후 10:47:55","100878","SAN DIEGO","RCAL0153 23|3/23/2026 22:47:55|4|0|530|358||BNSF   154;|EAST BROOK|100009||NONE|0|BNSF   171|NONE|","6BA667C0-47FF-4A26-86A8-E9122A0AA459",,"ANDROVICH, ERINA {EAA}"
"D9A854AF-E94F-41A3-8AFC-E35F76690015","MESA","2026-03-23 오후 10:43:10","100173","SAN DIEGO","RCAL0153 23|3/23/2026 22:43:10|4|0|530|358||BNSF   154;|MESA|100006||NONE|0|BNSF   171|NONE|","025C432A-D0E7-4D9A-9192-23A64899E6A4",,"ANDROVICH, ERINA {EAA}"
"E6786EA2-0E2D-45EC-8E88-B13391C2D086","ESCONDIDO JCT","2025-08-12 오후 11:06:29","100736","SAN DIEGO","RCAL0153 12|8/12/2025 23:06:29|5|0|709|453||BNSF  6566;|ESCONDIDO JCT|100013||NONE|0|BNSF   142|NONE|","85DD89AF-AC18-4B2D-B616-A7123D78220D",,"VUNCANNON, KRYSTAL {KV}"
"E6786EA2-0E2D-45EC-8E88-B13391C2D086","PACIFIC","2025-08-12 오후 11:05:14","100701","SAN DIEGO","RCAL0153 12|8/12/2025 23:05:14|5|0|709|453||BNSF  6566;|PACIFIC|100011||NONE|0|BNSF   142|NONE|","0E68C34E-30E5-4642-9E43-6B8FD61327B7",,"VUNCANNON, KRYSTAL {KV}"
"E6786EA2-0E2D-45EC-8E88-B13391C2D086","SHELL","2025-08-12 오후 11:03:25","100246","SAN DIEGO","RCAL0153 12|8/12/2025 23:03:25|5|0|709|453||BNSF  6566;|SHELL|100012||NONE|0|BNSF   142|NONE|","070DD7D8-55C4-4869-B371-1231F749847E",,"VUNCANNON, KRYSTAL {KV}"
"E6786EA2-0E2D-45EC-8E88-B13391C2D086","EAST BROOK","2025-08-12 오후 11:02:02","100878","SAN DIEGO","RCAL0153 12|8/12/2025 23:02:02|5|0|709|453||BNSF  6566;|EAST BROOK|100009||NONE|0|BNSF   142|NONE|","6C5B9658-42C3-48AC-90B6-27E6A3FB0B27",,"VUNCANNON, KRYSTAL {KV}"
"E6786EA2-0E2D-45EC-8E88-B13391C2D086","MESA","2025-08-12 오후 10:56:45","100173","SAN DIEGO","RCAL0153 12|8/12/2025 22:56:45|5|0|709|453||BNSF  6566;|MESA|100006||NONE|0|BNSF   142|NONE|","F4AAC7E8-D5C2-40FB-8A26-B30EFE54D2AC",,"VUNCANNON, KRYSTAL {KV}"
