"CodeLineNumber","CodeStationNumber","ControlPointNumber","StationName","ControlAddress","IndicationAddress","NumberOfControls","NumberOfIndications","WaysideATCSAddress","WaysideEMPAddress","NetworkPortalPrimary","NetworkPortalSecondary","NetworkPortalAddress","StationSetupParameterString","CodeLineName","CodeLineLimits","LegacyType","SessionProtocol","NormalCodeserverName","StandbyCodeserverName","PacketSwitchPName","PacketSwitchSName","PacketSwitchPIP","PacketSwitchSIP","PacketSwitchPPort","PacketSwitchSPort","CodeLineSetupParameterString","ControlPointName","PTCSiteName","SubdivisionUID","SubdivisionName","TerritoryAssignment"
"7","1","200002","RAILROAD","46","46","48","48",,,"PORT-46","NONE","46","","CDLN-7","CP RAILROAD","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","RAILROAD","","1","ESCONDIDO","200"
"8","1","200004","WYE","44","44","48","48",,,"PORT-44","NONE","44","","CDLN-8","CP WYE","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","WYE","","1","ESCONDIDO","200"
"9","1","200005","CROUCH","42","42","48","48",,,"PORT-42","NONE","42","","CDLN-9","CROUCH STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","CROUCH","","1","ESCONDIDO","200"
"10","1","200003","TRUE","40","40","48","48",,,"PORT-40","NONE","40","","CDLN-10","CP TRUE","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","TRUE","","1","ESCONDIDO","200"
"11","1","200008","EL CAMINO","38","38","48","48",,,"PORT-38","NONE","38","","CDLN-11","EL CAMINO STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","EL CAMINO","","1","ESCONDIDO","200"
"12","1","200006","RANCHO","36","36","48","48",,,"PORT-36","NONE","36","","CDLN-12","RANCHO STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","RANCHO","","1","ESCONDIDO","200"
"13","1","200007","SCHOOL","34","34","48","48",,,"PORT-34","NONE","34","","CDLN-13","CP SCHOOL","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","SCHOOL","","1","ESCONDIDO","200"
"14","1","200009","MELROSE","32","32","48","48",,,"PORT-32","NONE","32","","CDLN-14","MELROSE STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","MELROSE","","1","ESCONDIDO","200"
"15","1","200010","ANGEL","30","30","48","48",,,"PORT-30","NONE","30","","CDLN-15","CP ANGEL","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","ANGEL","","1","ESCONDIDO","200"
"16","1","200011","VISTA","28","28","48","48",,,"PORT-28","NONE","28","","CDLN-16","VISTA STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","VISTA","","1","ESCONDIDO","200"
"17","1","200012","ESCON","26","26","48","48",,,"PORT-26","NONE","26","","CDLN-17","ESCONDIDO AVE","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","CIVIC CTR VISTA","","1","ESCONDIDO","200"
"18","1","200013","AVENUE","24","24","24","48",,,"PORT-24","NONE","24","","CDLN-18","CP AVENUE","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","AVENUE","","1","ESCONDIDO","200"
"19","1","200014","BUENA CREEK","22","22","24","48",,,"PORT-22","NONE","22","","CDLN-19","BUENA CREEK","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","BUENA CREEK","","1","ESCONDIDO","200"
"20","1","200016","MISSY","20","20","48","48",,,"PORT-20","NONE","20","","CDLN-20","CP MISSY","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","MISSY","","1","ESCONDIDO","200"
"21","1","200015","PALOMAR","18","18","48","48",,,"PORT-18","NONE","18","","CDLN-21","PALOMAR STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","PALOMAR","","1","ESCONDIDO","200"
"22","1","200017","LOOP WEST","16","16","48","48",,,"PORT-16","NONE","16","","CDLN-22","CP LOOP WEST","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","LOOP WEST","","1","ESCONDIDO","200"
"23","1","200020","SHELLY","12","12","48","48",,,"PORT-12","NONE","12","","CDLN-23","CP SHELLY","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","SHELLY","","1","ESCONDIDO","200"
"24","1","200019","LOOP EAST","10","10","48","48",,,"PORT-10","NONE","10","","CDLN-24","CP LOOP EAST","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","LOOP EAST","","1","ESCONDIDO","200"
"25","1","200025","NORDAHL","8","8","48","48",,,"PORT-08","NONE","8","","CDLN-25","NORDAHL STATION","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","NORDAHL","","1","ESCONDIDO","200"
"26","1","200026","HOLDOUT","6","6","48","48",,,"PORT-06","NONE","6","","CDLN-26","CP HOLDOUT","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","HOLDOUT","","1","ESCONDIDO","200"
"27","1","200027","YARD","4","4","48","48",,,"PORT-04","NONE","4","","CDLN-27","CP YARD","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","YARD","","1","ESCONDIDO","200"
"28","1","200028","AVO","2","2","24","24",,,"PORT-02","NONE","2","","CDLN-28","AVO","GENESYS","GENESYS","CODE-01A","CODE-01B","NONE","NONE","127.0.0.1","127.0.0.1","0","0","5;28;28;28;3;3;3;5","AVO","","1","ESCONDIDO","200"
