"UID","ControlPoint","Name","Type","LX","LY","RX","RY","LeftLink","RightLink","LeftAltLink","RightAltLink","AltLinkOne","AltLinkTwo","Codeline","CPIND1","CPIND2","CPIND3","CPCTL1","CPCTL2","CPCTL3","TerritoryAssignment","MatchMode","IndicateOnly","ControlOnly","FlashIndicate","FlashControl","Color","TypeOfDevice","Subdivision","GraphicGroup","ScreenRegion","TrackGUID","FontString","SecondaryText","DeviceControl","ControlStatus","Notes","AlarmOnIndication","AlarmNotification","SlotControlOnIndication","InvertIndication","ManualOperateMode","AllowSnowMelterTimer","SnowMelterTime","ScadaMode","TrackInterlockMode","DisableSlotting","RRUniqueIdentifierName","ScadaSuppressTime","DeviceCategory"
"100992","100001","SUPERVISORY CONTROL","D","80","90","230","100","0","0","0","0","0","0","5","11;1;100001;0005","0;1;100001;0005","0;1;100001;0005","0;1;100001;","0;1;100001;","0;1;100001;","100","False","False","False","False","False","-1","ArrowRight","2","1","2","","Microsoft Sans Serif;Regular;8.25","ERQK;-16711936",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200108","200027","UNLOCK ","D","1215","882","1235","875","0","0","0","0","0","0","27","0;1;200027;0027","0;1;200027;0027","0;1;200027;0027","33;1;200027;","32;1;200027;","0;1;200027;","200","False","False","False","False","False","-1","ControlOnly","1","1","17","","Microsoft Sans Serif;Regular;8.25","LOCK;-1",";-;","False","NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200175","200027","REVERSE","D","1440","780","1420","810","0","0","0","0","0","0","27","12;1;200027;27","0;1;200027;27","0;1;200027;27","0;1;200027;","0;1;200027;","0;1;200027;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","15","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200176","200027","NORMAL","D","1440","765","1430","765","0","0","0","0","0","0","27","11;1;200027;27","0;1;200027;27","0;1;200027;27","0;1;200027;","0;1;200027;","0;1;200027;","200","False","False","False","False","False","-16711936","IndicateOnly","1","1","14","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200517","200027","UNLOCK","D","1165","825","1200","825","0","0","0","0","0","0","27","0;1;200027;0027","0;1;200027;0027","0;1;200027;0027","30;1;200027;","31;1;200027;","0;1;200027;","200","False","False","False","False","False","-1","ControlOnly","1","1","16","","Microsoft Sans Serif;Regular;8.25","LOCK;-1",";-;","False","NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200698","200004","1009DOK","D","675","60","435","35","0","0","0","0","0","0","8","26;1;200004;8","0;1;200004;0001","0;1;200004;0001","0;1;200004;","0;1;200004;","0;1;200004;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","2","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200699","200004","1009POK","D","675","80","425","60","0","0","0","0","0","0","8","25;1;200004;8","0;1;200004;0001","0;1;200004;0001","0;1;200004;","0;1;200004;","0;1;200004;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","2","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200700","200004","1011POK","D","675","40","470","30","0","0","0","0","0","0","8","27;1;200004;8","0;1;200004;0001","0;1;200004;0001","0;1;200004;","0;1;200004;","0;1;200004;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","1","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200701","200004","1011DOK","D","805","40","510","45","0","0","0","0","0","0","8","28;1;200004;8","0;1;200004;0001","0;1;200004;0001","0;1;200004;","0;1;200004;","0;1;200004;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","1","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200702","200004","1012POK","D","805","60","565","35","0","0","0","0","0","0","8","29;1;200004;8","0;1;200004;0001","0;1;200004;0001","0;1;200004;","0;1;200004;","0;1;200004;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","2","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200703","200004","1012DOK","D","805","80","585","80","0","0","0","0","0","0","8","30;1;200004;8","0;1;200004;0001","0;1;200004;0001","0;1;200004;","0;1;200004;","0;1;200004;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","2","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"200715","200008","1032POK","D","1255","70","1275","85","0","0","0","0","0","0","11","25;1;200008;11","0;1;200008;0001","0;1;200008;0001","0;1;200008;","0;1;200008;","0;1;200008;","200","False","False","False","False","False","-65536","IndicateOnly","1","1","2","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
