"component_family","component_uid","parent_control_point_uid","component_name","component_secondary_name","component_detail_name","component_codeline","territory_assignment","subdivision"
"signal","100164","100005","4W-SIGNAL","4WA","WB MT2","5","100","2"
"signal","100165","100005","4W-SIGNAL","4WC","WB Slide","5","100","2"
"signal","100661","100005","4E-SIGNAL","4E","EB MT2","5","100","2"
"signal","100689","100005","2E-SIGNAL","2E","EB MT1","5","100","2"
"signal","100889","100005","2W-SIGNAL","2W","WB MT1","5","100","2"
"signal","100171","100006","4E-SIGNAL","EB","EB East Lead","5","100","2"
"signal","100667","100006","2E-SIGNAL","2E","EB MT1","5","100","2"
"signal","100882","100006","2W-SIGNAL","2W","WB MT1","5","100","2"
"signal","100913","100006","4E-SIGNAL","EA","EB MT2","5","100","2"
"signal","100915","100006","4W-SIGNAL","WA","WB MT2","5","100","2"
"signal","100340","100007","2E-SIGNAL","1E-SIGNAL","EB MT1","5","100","2"
"signal","100344","100007","2W-SIGNAL","1W-SIGNAL","WB MT1","5","100","2"
"signal","100409","100007","4E-SIGNAL","2E-SIGNAL","EB MT 2","5","100","2"
"signal","100414","100007","4W-SIGNAL","2W-SIGNAL","WB MT2","5","100","2"
"signal","100467","100008","2E-SIGNAL","2ED - SIGNAL","EB Trk1","5","100","2"
"signal","100478","100008","2E-SIGNAL","2EC-SIGNAL","EB Trk2","5","100","2"
"signal","100479","100008","2E-SIGNAL","2EB - SIGNAL","EB Trk3","5","100","2"
"signal","100480","100008","2E-SIGNAL","2EA-SIGNAL","EB Trk4","5","100","2"
"signal","100491","100008","2W-SIGNAL","2W-SIGNAL","WB MT","5","100","2"
"signal","100214","100009","77-SIGNAL","EBA_B","EB MT1","5","100","2"
"signal","100221","100009","78-SIGNAL","WA_B","WB MT","5","100","2"
"signal","100917","100009","77-SIGNAL","EAA_B","EB MT2","5","100","2"
"signal","100635","100010","2E-SIGNAL","2EA_B","EB MT1","5","100","2"
"signal","100646","100010","2W-SIGNAL","2WA_B","WB MT1","5","100","2"
"signal","100648","100010","4W-SIGNAL","4WA_B","WB MT2","5","100","2"
"signal","100905","100010","4E-SIGNAL","4EA_B","EB MT2","5","100","2"
"signal","100705","100011","E-SIGNAL","E-SIGNAL","EB MT1","5","100","2"
"signal","100706","100011","W-SIGNAL","W-SIGNAL","WB MT1","5","100","2"
"signal","100707","100011","W-SIGNAL","W-SIGNAL","WB OPT","5","100","2"
"signal","100250","100012","4-SIGNAL","EA_B","EB MT","5","100","2"
"signal","100251","100012","5-SIGNAL","WAA_B","WB MT1","5","100","2"
"signal","100252","100012","5-SIGNAL","WBA_B","WB MT2","5","100","2"
"signal","100257","100013","2E-SIGNAL","2E-SIGNAL","EB MT1","5","100","2"
"signal","100258","100013","4E-SIGNAL","4E-SIGNAL","EB MT2","5","100","2"
"signal","100264","100013","4W-SIGNAL","4W-SIGNAL","WB MT2","5","100","2"
"signal","100277","100013","6W-SIGNAL","6W-SIGNAL","WB OPT","5","100","2"
"signal","100288","100013","2W-SIGNAL","2W-SIGNAL","WB MT1","5","100","2"
"signal","100738","100013","6E-SIGNAL","6E-SIGNAL","EB OPT","5","100","2"
"signal","100818","100015","2E-SIGNAL","EC_D","EB MT1","5","100","2"
"signal","100819","100015","2E-SIGNAL","EA_B","EB MT2","5","100","2"
"signal","100826","100015","1W-SIGNAL","WA_B","WB MT","5","100","2"
"signal","100306","100016","6-SIGNAL","EA_B","EB MT1","5","100","2"
"signal","100307","100016","6-SIGNAL","EC_D","EB MT2","5","100","2"
"signal","100313","100016","1-SIGNAL","WA_B","WB MT","5","100","2"
"signal","100754","100017","2E-SIGNAL","2EA_B","EB MT1","5","100","2"
"signal","100757","100017","2W-SIGNAL","2WA_B","WB MT1","5","100","2"
"signal","100765","100017","4E-SIGNAL","4EA_B","EB MT2","5","100","2"
"signal","100768","100017","4W-SIGNAL","4WA_B","WB MT2","5","100","2"
"signal","100327","100018","3-SIGNAL","EB","EB MT1","5","100","2"
"signal","100328","100018","3-SIGNAL","EA","EB MT2","5","100","2"
"signal","100334","100018","15-SIGNAL","WA_B","WB MT","5","100","2"
"signal","100350","100019","53-SIGNAL","EA_B","EB MT","5","100","2"
"signal","100351","100019","54-SIGNAL","WA","WB MT2","5","100","2"
"signal","100897","100019","54-SIGNAL","WB","WB MT1","5","100","2"
"signal","100874","100020","2E-SIGNAL","1E-SIGNAL","EB MT1","5","100","2"
"signal","100890","100020","2W-SIGNAL","1W-SIGNAL","WB MT1","5","100","2"
"signal","100910","100020","4E-SIGNAL","2E-SIGNAL","EB MT2","5","100","2"
"signal","100916","100020","4W-SIGNAL","2W-SIGNAL","WB MT2","5","100","2"
"signal","100379","100022","47-SIGNAL","EAA_B","EB MT1","5","100","2"
"signal","100380","100022","47-SIGNAL","EBA_B","EB MT2","5","100","2"
"signal","100386","100022","48-SIGNAL","WA_B","WB MT","5","100","2"
"signal","100394","100023","41-SIGNAL","EA_B","EB MT","5","100","2"
"signal","100907","100023","38-SIGNAL","WAA_B","WB MT2","5","100","2"
"signal","100911","100023","38-SIGNAL","WBA_B","WB MT1","5","100","2"
"signal","100408","100024","43-SIGNAL","WA_B","WB MT","5","100","2"
"signal","100892","100024","39-SIGNAL","EA","EB MT2","5","100","2"
"signal","100909","100024","39-SIGNAL","EB","EB MT1","5","100","2"
"signal","100184","100025","E-SIGNAL","EA_B","EB MT","5","100","2"
"signal","100185","100025","W-SIGNAL","WA","WB MT2","5","100","2"
"signal","100186","100025","W-SIGNAL","WC","WB MT1","5","100","2"
"signal","100440","100027","27-SIGNAL","2EA_B","EB MT","5","100","2"
"signal","100441","100027","W-SIGNAL","2WA_B","WB MT1","5","100","2"
"signal","100442","100027","W-SIGNAL","4WA_B","WB MT2","5","100","2"
"signal","100460","100027","W-SIGNAL","2WC_D","WB Wye","5","100","2"
"signal","100528","100033","4E-SIGNAL","4EA_B","EB MT2","5","100","2"
"signal","100544","100033","W-SIGNAL","2WBA_B","WB Trk1","5","100","2"
"signal","100545","100033","W-SIGNAL","2WAA_B","WB Trk2","5","100","2"
"signal","100546","100033","W-SIGNAL","4WAA_B","WB Trk3","5","100","2"
"signal","100547","100033","W-SIGNAL","4WBA_B","WB Trk4","5","100","2"
"signal","100692","100033","EB MT1","2EA_B","EB MT1","5","100","2"
"signal","100625","100035","4E-SIGNAL","4E","EB MT2","5","100","2"
"signal","100626","100035","2E-SIGNAL","2E","EB MT1","5","100","2"
"signal","100627","100035","4W-SIGNAL","4W","WB MT2","5","100","2"
"signal","100628","100035","2W-SIGNAL","2W","WB MT1","5","100","2"
"signal","200112","200000","11E-SIGNAL","E-SIGNAL","","6","200","1"
"signal","200113","200000","11E-SIGNAL","11E-SIGNAL","","6","200","1"
"signal","200119","200000","12W-SIGNAL","W-SIGNAL","","6","200","1"
"signal","200130","200002","1E-SIGNAL","1E-SIGNAL","","7","200","1"
"signal","200141","200002","2E-SIGNAL","2E-SIGNAL","","7","200","1"
"signal","200144","200002","3W-SIGNAL","2W-SIGNAL","","7","200","1"
"signal","200152","200002","3W-SIGNAL","W-SIGNAL","","7","200","1"
"signal","200168","200003","1E-SIGNAL","1E-SIGNAL","","10","200","1"
"signal","200184","200003","1W-SIGNAL","1W-SIGNAL","","10","200","1"
"signal","200185","200003","1W-SIGNAL","1W-SIGNAL","","10","200","1"
"signal","200150","200004","EBNS COAST","EBNS COAST","","8","200","1"
"signal","200157","200004","E-SIGNAL","E-SIGNAL","","8","200","1"
"signal","200158","200004","E-SIGNAL","E-SIGNAL","","8","200","1"
"signal","200164","200004","W-SIGNAL","W-SIGNAL","","8","200","1"
"signal","200169","200005","1E-SIGNAL","1E-SIGNAL","","9","200","1"
"signal","200173","200005","1W-SIGNAL","1W-SIGNAL","","9","200","1"
"signal","200170","200006","1E-SIGNAL","1E-SIGNAL","","12","200","1"
"signal","200171","200006","1E-SIGNAL","1E-SIGNAL","","12","200","1"
"signal","200216","200007","E-SIGNAL","E-SIGNAL","","13","200","1"
"signal","200217","200007","E-SIGNAL","E-SIGNAL","","13","200","1"
"signal","200223","200007","W-SIGNAL","W-SIGNAL","","13","200","1"
"signal","200167","200008","1E-SIGNAL","1E-SIGNAL","","11","200","1"
"signal","200172","200008","1E-SIGNAL","1E-SIGNAL","","11","200","1"
"signal","200267","200009","1E-SIGNAL","1E-SIGNAL","","14","200","1"
"signal","200243","200010","E-SIGNAL","E-SIGNAL","","15","200","1"
"signal","200244","200010","W-SIGNAL","W-SIGNAL","","15","200","1"
"signal","200245","200010","W-SIGNAL","W-SIGNAL","","15","200","1"
"signal","200268","200011","E-SIGNAL","E-SIGNAL","","16","200","1"
"signal","200269","200011","1E-SIGNAL","1E-SIGNAL","","16","200","1"
"signal","200260","200012","WBNS ESCONDIDO AVE","WBNS ESCONDIDO AVE","","17","200","1"
"signal","200261","200012","WBNS ESCON AVE","WBNS ESCON AVE","","17","200","1"
"signal","200250","200013","E-SIGNAL","E-SIGNAL","","18","200","1"
"signal","200251","200013","E-SIGNAL","E-SIGNAL","","18","200","1"
"signal","200257","200013","W-SIGNAL","W-SIGNAL","","18","200","1"
"signal","200265","200014","1W-SIGNAL","1W-SIGNAL","","19","200","1"
"signal","200307","200015","33-SIGNAL","1E-SIGNAL","","21","200","1"
"signal","200308","200015","42-SIGNAL","1E-SIGNAL","","21","200","1"
"signal","200296","200016","E-SIGNAL","E-SIGNAL","","20","200","1"
"signal","200297","200016","W-SIGNAL","W-SIGNAL","","20","200","1"
"signal","200298","200016","W-SIGNAL","W-SIGNAL","","20","200","1"
"signal","200262","200017","WBNS CIVIC","WBNS CIVIC","","22","200","1"
"signal","200263","200017","WBNS CIVIC CTR","WBNS CIVIC CTR","","22","200","1"
"signal","200316","200017","E-SIGNAL","E-SIGNAL","","22","200","1"
"signal","200317","200017","W-SIGNAL","W-SIGNAL","","22","200","1"
"signal","200318","200017","W-SIGNAL","W-SIGNAL","","22","200","1"
"signal","200324","200017","EBNS CIVIC","EBNS CIVIC","","22","200","1"
"signal","200377","200019","E-SIGNAL","E-SIGNAL","","24","200","1"
"signal","200384","200019","W-SIGNAL","W-SIGNAL","","24","200","1"
"signal","200391","200019","E-SIGNAL","E-SIGNAL","","24","200","1"
"signal","200330","200020","W-SIGNAL","W-SIGNAL","","23","200","1"
"signal","200351","200020","E-SIGNAL","E-SIGNAL","","23","200","1"
"signal","200352","200020","E-SIGNAL","E-SIGNAL","","23","200","1"
"signal","200393","200025","W-SIGNAL","W-SIGNAL","","25","200","1"
"signal","200413","200025","E-SIGNAL","E-SIGNAL","","25","200","1"
"signal","200475","200026","1E-SIGNAL","1E-SIGNAL","","26","200","1"
"signal","200476","200026","1W-SIGNAL","1W-SIGNAL","","26","200","1"
"signal","200428","200027","E-SIGNAL","E-SIGNAL","","27","200","1"
"signal","200430","200027","E-SIGNAL","E-SIGNAL","","27","200","1"
"signal","200452","200027","1E-SIGNAL","1E-SIGNAL","","27","200","1"
"signal","200453","200027","1E-SIGNAL","1E-SIGNAL","","27","200","1"
"signal","200463","200027","W-SIGNAL","W-SIGNAL","","27","200","1"
"signal","200464","200027","W-SIGNAL","W-SIGNAL","","27","200","1"
"signal","200469","200028","E-SIGNAL","E-SIGNAL","","28","200","1"
"signal","200471","200028","1W-SIGNAL","1W-SIGNAL","","28","200","1"
"switch","100730","100000","1-SWITCH","1-SWITCH","1 Dual Controlled - Carl Main MP229.423","5","100","2"
"switch","100124","100001","1-SWITCH","1-SWITCH","1 Dual Controlled - Songs Main MP209.1286","5","100","2"
"switch","100238","100001","EDISON POWER PLANT","EDISON POWER PLANT","Hand Throw Edison Main2 MP209.335","5","100","2"
"switch","100600","100001","CP STUART LEAD","CP STUART LEAD","Hand Throw Stuart Lead Main2 MP221.864","5","100","2"
"switch","100149","100002","1-SWITCH","1X","1X Dual Controlled - Don Main1 MP216.277","5","100","2"
"switch","100150","100002","3-SWITCH","3X","3X Dual Controlled - Don Main1 MP216.510","5","100","2"
"switch","100168","100002","1-SWITCH","1-SWITCH","1 Dual Controlled - Don Main2 MP216.383","5","100","2"
"switch","100169","100002","3-SWITCH","3-SWITCH","3 Dual Controlled - Don Main2 MP216.401","5","100","2"
"switch","100145","100003","1-SWITCH","1-SWITCH","1 Dual Controlled - Pulgas Main MP218.1412","5","100","2"
"switch","100276","100004","1-SWITCH","1X","1X Dual Controlled - Cudahy Main2 MP262.143","5","100","2"
"switch","100282","100004","1-SWITCH","1-SWITCH","1 Dual Controlled - Cudahy Main1 MP262.243","5","100","2"
"switch","100285","100004","3-SWITCH","3-SWITCH","3 Dual Controlled - Cudahy Main1 MP262.271","5","100","2"
"switch","100295","100004","3-SWITCH","3X","3X Dual Controlled - Cudahy Main2 MP262.375","5","100","2"
"switch","100166","100005","3-SWITCH","3-SWITCH","3 Dual Controlled - Stuart Main2 MP221.585","5","100","2"
"switch","100679","100005","1-SWITCH","1X","1X Dual Controlled - Stuart Main2 MP221.559","5","100","2"
"switch","100684","100005","1-SWITCH","1-SWITCH","1 Dual Controlled - Stuart Main1 MP221.460","5","100","2"
"switch","100695","100005","3-SWITCH","3-SWITCH","Yard Sw 204","5","100","2"
"switch","100647","100006","1-SWITCH","1-SWITCH","East Lead","5","100","2"
"switch","100665","100006","1-SWITCH","1-SWITCH","1 Dual Controlled - Mesa Main2 MP222.533","5","100","2"
"switch","100674","100006","3-SWITCH","3X","3X Dual Controlled - Mesa Main1 MP222.635","5","100","2"
"switch","100675","100006","3-SWITCH","3-SWITCH","3 Dual Controlled - Mesa Main2 MP222.548","5","100","2"
"switch","100341","100007","1-SWITCH","1X","1X Dual Controlled - Rose Main1 MP256.023","5","100","2"
"switch","100343","100007","3-SWITCH","3X","3X Dual Controlled - Rose Main1 MP256.282","5","100","2"
