"RestrictionUID","RestrictionType","SubType","RestrictionSubName","TrackName","TrackNameList","Direction","Information","CompList","PTCBulletinText","ComponentUID","component_family","component_name","component_secondary_name"
"568","MISC","FORM F","SAN DIEGO","Mt1","Mt1","","UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE,
MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF CONSTRUCTION.","100271-100280-100323-100324-100337-100473-100283-100322","Track Bulletin No 568|San Diego Sub|Between MP 256.15 And MP 262.25|Mt1|UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL |BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE, |MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF |CONSTRUCTION. |","100271","track","1TK","MT1"
"568","MISC","FORM F","SAN DIEGO","Mt1","Mt1","","UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE,
MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF CONSTRUCTION.","100271-100280-100323-100324-100337-100473-100283-100322","Track Bulletin No 568|San Diego Sub|Between MP 256.15 And MP 262.25|Mt1|UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL |BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE, |MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF |CONSTRUCTION. |","100280","track","1TK","MT1"
"568","MISC","FORM F","SAN DIEGO","Mt1","Mt1","","UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE,
MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF CONSTRUCTION.","100271-100280-100323-100324-100337-100473-100283-100322","Track Bulletin No 568|San Diego Sub|Between MP 256.15 And MP 262.25|Mt1|UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL |BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE, |MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF |CONSTRUCTION. |","100283","track","1TK","MT1"
"568","MISC","FORM F","SAN DIEGO","Mt1","Mt1","","UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE,
MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF CONSTRUCTION.","100271-100280-100323-100324-100337-100473-100283-100322","Track Bulletin No 568|San Diego Sub|Between MP 256.15 And MP 262.25|Mt1|UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL |BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE, |MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF |CONSTRUCTION. |","100322","track","1TK","MT1"
"568","MISC","FORM F","SAN DIEGO","Mt1","Mt1","","UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE,
MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF CONSTRUCTION.","100271-100280-100323-100324-100337-100473-100283-100322","Track Bulletin No 568|San Diego Sub|Between MP 256.15 And MP 262.25|Mt1|UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL |BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE, |MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF |CONSTRUCTION. |","100323","track","1TK","MT1"
"568","MISC","FORM F","SAN DIEGO","Mt1","Mt1","","UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE,
MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF CONSTRUCTION.","100271-100280-100323-100324-100337-100473-100283-100322","Track Bulletin No 568|San Diego Sub|Between MP 256.15 And MP 262.25|Mt1|UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL |BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE, |MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF |CONSTRUCTION. |","100324","track","1TK","MT1"
"568","MISC","FORM F","SAN DIEGO","Mt1","Mt1","","UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE,
MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF CONSTRUCTION.","100271-100280-100323-100324-100337-100473-100283-100322","Track Bulletin No 568|San Diego Sub|Between MP 256.15 And MP 262.25|Mt1|UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL |BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE, |MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF |CONSTRUCTION. |","100337","track","2WAK","MT1"
"568","MISC","FORM F","SAN DIEGO","Mt1","Mt1","","UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE,
MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF CONSTRUCTION.","100271-100280-100323-100324-100337-100473-100283-100322","Track Bulletin No 568|San Diego Sub|Between MP 256.15 And MP 262.25|Mt1|UNTIL FURTHER NOTICE, ALL FREIGHT OPERATIONS SHALL |BE LIMITED TO MAIN TRACK 1 ONLY BETWEEN CP ROSE, |MP 256.15 AND CP CUDAHY, MP 262.25 ACCOUNT OF |CONSTRUCTION. |","100473","track","2EAK","MT1"
"639","MISC","FORMTC","SAN DIEGO","Main","Main","","BRIDGE MONITORING DEVICES ATTACHED TO BASE OF RAIL.","100335","Track Bulletin No 639|San Diego Sub|At MP 234.8|Main Track|BRIDGE MONITORING DEVICES ATTACHED TO BASE OF |RAIL. |","100335","track","WATKAR","MAIN"
"653","MISC","FORMTC","ESCONDIDO","All Tracks","All Tracks","","

WATCH YOUR FOOTING AT THE FOLLOWING LOCATIONS:

MP 110.2 TO MP 111.2 ACCOUNT OF BARRIER FENCE AND
CONSTRUCTION ON MT2.

THE SOUTH WALKWAY ON THE BRIDGE FOR MAIN TRACK AT
MP 112.5 IS OUT OF SERVICE.","200100-200114-200115-200116-200117-200120-200121-200122-200123-200125-200129-200135-200136-200137-200145-200146-200147-200148-200149-200154-200155-200159-200160-200161-200162-200165-200174-200190-200191-200192-200193-200194-200195-200196-200197-200198-200199-200200-200201-200202-200203-200218-200219-200220-200221-200224-200226-200228-200229-200230-200231-200232-200233-200234-200235-200236-200237-200238-200239-200240-200241-200242-200247-200248-200252-200253-200254-200255-200258-200272-200273-200274-200275-200276-200277-200278-200279-200283-200284-200285-200286-200287-200288-200290-200291-200292-200293-200294-200295-200303-200304-200305-200306-200309-200310-200311-200312-200313-200314-200315-200320-200321-200332-200333-200334-200335-200336-200338-200353-200354-200355-200360-200379-200380-200381-200385-200407-200409-200410-200411-200412-200416-200425-200426-200429-200431-200435-200436-200437-200441-200444-200445-200447-200448-200454-200458-200459-200460-200461-200467-200468-200473-200510-200534-200536-200537","Track Bulletin No 653|Escondido Sub|Between MP 99.3 And MP 121.6|All Tracks|WATCH YOUR FOOTING AT THE FOLLOWING LOCATIONS: | |MP 110.2 TO MP 111.2 ACCOUNT OF BARRIER FENCE AND |CONSTRUCTION ON MT2. | |THE SOUTH WALKWAY ON THE BRIDGE FOR MAIN TRACK AT |MP 112.5 IS OUT OF SERVICE. |","200100","track","1WABK","MAIN"
