"WordType","CDLNNumber","CPNumber","CSNumber","BPAssignment","Mnemonic","LongName","BitType","UID"
"C","5","100002","1","16","BLANK","BLANK CONTROL","None","4EC6AADD-AA7A-4C3B-8F83-1B4AAAF71B63"
"I","5","100002","1","16","4WAK","4WAK","None","0875EB6B-E4B7-402C-BA73-35BA9CA61A0C"
"C","5","100002","1","17","BLANK","BLANK CONTROL","None","0F688F9E-C4F5-4A34-8E22-D89D332D171A"
"I","5","100002","1","17","POK","POWER OFF INDICATION","None","3E4AEE9C-23CD-4DDB-9848-559779BCC973"
"C","5","100002","1","18","BLANK","BLANK CONTROL","None","85A6838A-A6B5-48BF-A3D5-9D207467E350"
"I","5","100002","1","18","LCK","LOCAL CONTROL INDICATION","None","B5DB2E26-6385-4B5B-8A97-3C8ABEC1351D"
"C","5","100002","1","19","BLANK","BLANK CONTROL","None","86C3E6F7-C380-4106-887C-15F3D3C29E0A"
"I","5","100002","1","19","DOK","DOOR OPEN INDICATION","None","07341768-168C-4C0A-847A-E28A31E2AF51"
"C","5","100002","1","20","BLANK","BLANK CONTROL","None","88A4E67B-3532-4D4A-95D9-A6C7DE8B27AB"
"I","5","100002","1","20","LOK","LIGHT OUT INDICATION","None","D1CBC7CB-AF99-42D5-9889-4D3DC5EA1A61"
"C","5","100002","1","21","BLANK","BLANK CONTROL","None","B2ADD1C7-BE6A-485C-9340-C0104FE82864"
"I","5","100002","1","21","BLANK","BLANK INDICATION","None","233C56A3-F0EA-4742-8259-D34B8354D37E"
"C","5","100002","1","22","BLANK","BLANK CONTROL","None","01D405B2-3FD0-49AA-8597-617D39CCC145"
"I","5","100002","1","22","BLANK","BLANK INDICATION","None","2480EFF7-EE51-4E00-B3DF-921CC9ED4B96"
"C","5","100002","1","23","BLANK","BLANK CONTROL","None","65232219-D379-4079-B9B8-21E0D0AAE387"
"I","5","100002","1","23","BLANK","BLANK INDICATION","None","865F89B6-7188-44D2-A3E6-DFA390EBECF7"
"C","5","100002","1","24","BLANK","BLANK CONTROL","None","FD3D6262-5546-49FE-8B06-3ED73DBBCA2E"
"I","5","100002","1","24","BLANK","BLANK INDICATION","None","90963053-D997-46FD-9BC8-96F362D4C378"
"C","5","100003","1","1","NWS","NORMAL SWITCH CONTROL","None","9DCF41BF-F9D3-42DB-AF59-F2F105E7F3DF"
"I","5","100003","1","1","NWK","NORMAL SWITCH INDICATION","None","A21DA7D0-81E2-42EF-9C60-0E1D53FBB2D1"
"C","5","100003","1","2","BLANK","BLANK CONTROL","None","E684CA98-4E21-455A-940D-29D5C9EC0E41"
"I","5","100003","1","2","TK","OS TRACK INDICATION","None","9ED35405-A301-4468-A525-1B3B5DD08F8D"
"C","5","100003","1","3","RWS","REVERSE SWITCH CONTROL","None","AEB63F84-E94B-420C-B6F2-D61BE797CF01"
"I","5","100003","1","3","RWK","REVERSE SWITCH INDICATION","None","3F8517C4-186D-45E2-B3F9-9868ED833A7A"
"C","5","100003","1","4","BLANK","BLANK CONTROL","None","228189FE-3B04-4E31-BD3F-9A394411A02E"
"I","5","100003","1","4","EAK","EAK","None","2D877897-EB35-47EF-9783-93A09A4B4E9C"
"C","5","100003","1","5","EGHS","EASTBOUND SIGNAL CONTROL","None","DCD32550-ED51-4EC9-AC48-8130981D113F"
"I","5","100003","1","5","EGK","EASTBOUND SIGNAL INDICATION","None","F595772F-E514-462C-BE40-A2BEB19896A1"
"C","5","100003","1","6","BLANK","BLANK CONTROL","NONE","52E5D9DA-DADF-495F-9045-851704EB9F61"
"I","5","100003","1","6","WAAK","WAAK","None","27A40BE3-1B49-4C10-BE5E-06DE369E8C7E"
"C","5","100003","1","7","WGHS","WESTBOUND SIGNAL CONTROL","NONE","CAD03FF7-0656-400D-B4FC-2207807894CE"
