component_family,assignment_owner_type,reference_column,reference_kind,row_count,resolved_count,unresolved_count,default_zero_count,distinct_component_count,distinct_parent_control_point_count,distinct_codeline_count,subdivision_names,reference_formats,resolution_methods,top_unresolved_raw_values,top_default_zero_values,top_resolved_reference_values,top_resolved_mnemonics,top_resolved_long_names
signal,signal_reference,NearSideSignaBitlIndication,indication,165,26,0,139,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,inferred_bp_assignment_station_control_point_with_trailing_code_line|explicit_code_line_station_control_point_bp_assignment,,0;0;0;0,7;1;200002;0007|12;1;200004;0008|4;1;200005;0009|6;1;200005;0009|6;1;200006;0012|4;1;200006;0012|7;1;200007;0013|4;1;200008;0011|6;1;200008;0011|4;1;200009;0014|4;1;200011;0016|6;1;200011;0016,EGNK|1ENSSK|1WNSSK|WGNK|BWGNK|E1WGNK|E2WGNK|EC1EGNK|EC2EGNK|MEGNK|NEGNK|NWGNK,RELEASE TRAIN|1E SIGNAL NEAR SIDE SIGNAL INDICATION|1W SIGNAL NEAR SIDE SIGNAL INDICATION|MAIN 1 NSS|TRAIN RELEASE|MEGNK RELEASE TRAIN
signal,signal_reference,NearSideSignalBitControl,control,165,26,0,139,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,inferred_bp_assignment_station_control_point_with_trailing_code_line|explicit_code_line_station_control_point_bp_assignment,,0;0;0;0,7;1;200002;0007|12;1;200004;0008|4;1;200005;0009|6;1;200005;0009|6;1;200006;0012|4;1;200006;0012|7;1;200007;0013|4;1;200008;0011|6;1;200008;0011|4;1;200009;0014|4;1;200011;0016|6;1;200011;0016,EGNS|1ENSSZ|1WNSSZ|WGNS|BWGNS|E1WGNS|E2WGNS|EC1EGNS|EC2EGNS|MEGNS|NEGNS|NWGNS,TRAIN READY|1E SIGNAL NEAR SIDE SIGNAL CONTROL|1W SIGNAL NEAR SIDE SIGNAL CONTROL|MAIN 1 NSS|MAIN 2 NSS|MEGNS TRAIN READY
signal,signal_reference,CallOnBit,control,165,8,0,157,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,inferred_bp_assignment_station_control_point_with_trailing_code_line,,0;0;0;0,8;1;100008;0005|6;1;100011;0005|12;1;100013;0005|14;1;100013;0005|10;1;100013;0005|22;1;100033;0005|6;1;100033;0005|5;1;200000;0006,2ECOGHS|2WCOHS|4ECOGHS|4WCOGHS|6WCOGHS|ECOGHS|WCOGHS|WGHCOS,2 EAST SIGNAL CALL-ON|2W CALL-ON SIGNAL CONTROL|4 EAST SIGNAL CALL-ON|4W CALL-ON SIGNAL CONTROL|6W CALL-ON SIGNAL CONTROL|E CALL-ON SIGNAL CONTROL|SIGNAL CALL ON|WEST CALL-ON CONTROL
control_point,direct_control_point_slot,CPCTL10,control,48,0,0,48,48,48,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL11,control,49,0,0,49,49,49,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL12,control,49,0,0,49,49,49,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL13,control,49,0,0,49,49,49,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL6,control,48,0,0,48,48,48,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL7,control,48,0,0,48,48,48,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL8,control,48,0,0,48,48,48,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL9,control,48,0,0,48,48,48,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
signal,signal_reference,BlockIndBit,indication,165,0,0,165,165,50,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
signal,signal_reference,JointControlAuthorizationCtlBit,control,330,0,0,330,165,50,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0|0;0;0;0,,,
signal,signal_reference,JointControlAuthorizationIndBit,control,165,0,0,165,165,50,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
track,track_reference,DerailmentDetectorCtlBit,control,444,0,0,444,444,50,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
track,track_reference,DerailmentDetectorIndBit,indication,444,0,0,444,444,50,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
track,track_reference,TrackLockBit,unknown,444,0,0,444,444,50,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
