reference_column,component_uid,component_name,parent_control_point_uid,parent_control_point_name,subdivision_name,raw_reference_value,reference_format,diagnostic_rule,local_code_line,local_code_station_number,local_bit_token,diagnostic_match_count,diagnostic_status,diagnostic_candidate_mnemonics,diagnostic_candidate_long_names,diagnostic_candidate_family_set,diagnostic_candidate_examples,cp_triplet_same_raw,cp_triplet_same_diagnostic_status,cp_triplet_same_candidate_examples
CPIND12,200011,VISTA,200011,VISTA,ESCONDIDO,0;0;200011;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,16,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND13,200011,VISTA,200011,VISTA,ESCONDIDO,0;0;200011;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,16,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND11,200012,CIVIC CTR VISTA,200012,CIVIC CTR VISTA,ESCONDIDO,0;0;200012;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,17,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND12,200012,CIVIC CTR VISTA,200012,CIVIC CTR VISTA,ESCONDIDO,0;0;200012;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,17,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND13,200012,CIVIC CTR VISTA,200012,CIVIC CTR VISTA,ESCONDIDO,0;0;200012;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,17,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND11,200013,AVENUE,200013,AVENUE,ESCONDIDO,0;0;200013;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,18,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND12,200013,AVENUE,200013,AVENUE,ESCONDIDO,0;0;200013;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,18,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND13,200013,AVENUE,200013,AVENUE,ESCONDIDO,0;0;200013;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,18,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND11,200014,BUENA CREEK,200014,BUENA CREEK,ESCONDIDO,0;0;200014;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,19,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND12,200014,BUENA CREEK,200014,BUENA CREEK,ESCONDIDO,0;0;200014;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,19,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND13,200014,BUENA CREEK,200014,BUENA CREEK,ESCONDIDO,0;0;200014;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,19,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND11,200015,PALOMAR,200015,PALOMAR,ESCONDIDO,0;0;200015;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,21,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND12,200015,PALOMAR,200015,PALOMAR,ESCONDIDO,0;0;200015;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,21,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND13,200015,PALOMAR,200015,PALOMAR,ESCONDIDO,0;0;200015;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,21,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND11,200016,MISSY,200016,MISSY,ESCONDIDO,0;0;200016;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,20,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND12,200016,MISSY,200016,MISSY,ESCONDIDO,0;0;200016;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,20,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND13,200016,MISSY,200016,MISSY,ESCONDIDO,0;0;200016;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,20,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND11,200017,LOOP WEST,200017,LOOP WEST,ESCONDIDO,0;0;200017;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,22,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND12,200017,LOOP WEST,200017,LOOP WEST,ESCONDIDO,0;0;200017;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,22,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND13,200017,LOOP WEST,200017,LOOP WEST,ESCONDIDO,0;0;200017;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,22,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND11,200019,LOOP EAST,200019,LOOP EAST,ESCONDIDO,0;0;200019;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,24,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND12,200019,LOOP EAST,200019,LOOP EAST,ESCONDIDO,0;0;200019;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,24,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND13,200019,LOOP EAST,200019,LOOP EAST,ESCONDIDO,0;0;200019;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,24,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND11,200020,SHELLY,200020,SHELLY,ESCONDIDO,0;0;200020;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,23,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND12,200020,SHELLY,200020,SHELLY,ESCONDIDO,0;0;200020;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,23,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND13,200020,SHELLY,200020,SHELLY,ESCONDIDO,0;0;200020;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,23,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND11,200025,NORDAHL,200025,NORDAHL,ESCONDIDO,0;0;200025;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,25,1,1,1,one_candidate,BLANK,BLANK,blank,1=BLANK:BLANK,True,True,True
CPIND12,200025,NORDAHL,200025,NORDAHL,ESCONDIDO,0;0;200025;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,25,1,1,1,one_candidate,BLANK,BLANK,blank,1=BLANK:BLANK,True,True,True
CPIND13,200025,NORDAHL,200025,NORDAHL,ESCONDIDO,0;0;200025;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,25,1,1,1,one_candidate,BLANK,BLANK,blank,1=BLANK:BLANK,True,True,True
CPIND11,200026,HOLDOUT,200026,HOLDOUT,ESCONDIDO,0;0;200026;26,code_line_station_control_point_bit,parent_station_local_bit_lookup,26,1,26,1,one_candidate,BLANK,BLANK INDICATION,blank,26=BLANK:BLANK INDICATION,True,True,True
CPIND12,200026,HOLDOUT,200026,HOLDOUT,ESCONDIDO,0;0;200026;26,code_line_station_control_point_bit,parent_station_local_bit_lookup,26,1,26,1,one_candidate,BLANK,BLANK INDICATION,blank,26=BLANK:BLANK INDICATION,True,True,True
CPIND13,200026,HOLDOUT,200026,HOLDOUT,ESCONDIDO,0;0;200026;26,code_line_station_control_point_bit,parent_station_local_bit_lookup,26,1,26,1,one_candidate,BLANK,BLANK INDICATION,blank,26=BLANK:BLANK INDICATION,True,True,True
CPIND11,200027,YARD,200027,YARD,ESCONDIDO,0;0;200027;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,27,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND12,200027,YARD,200027,YARD,ESCONDIDO,0;0;200027;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,27,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND13,200027,YARD,200027,YARD,ESCONDIDO,0;0;200027;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,27,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
