component_family,component_uid,parent_control_point_uid,component_name,component_secondary_name,component_detail_name,component_codeline,reference_column,reference_kind,raw_reference_value,raw_reference_part,part_index,reference_format,token_count,token_1,token_2,token_3,token_4,expected_word_type,component_scope_code_line,unique_cp_scope_code_line,trailing_scope_code_line,component_scope_candidate_count,unique_cp_scope_candidate_count,trailing_scope_candidate_count,preferred_scope_source,preferred_scope_code_line,preferred_scope_candidate_count,preferred_scope_candidate_examples,scope_source_key,has_resolved_sibling_in_same_field,resolved_sibling_count,resolved_sibling_examples,structural_class
track,200122,200002,1TK,MAIN,MAIN,7,SIND,indication,0;1;200002;0007,0;1;200002;0007,1,code_line_station_control_point_bit,4,0,1,200002,0007,I,7,7,0007,48,48,0,component_codeline,7,48,1=1NWK:1 NORMAL SWITCH INDICATION|2=1RWK:1 REVERSE SWITCH INDICATION|3=3NWK:RAILMOVEMENT INDICATION|4=3RWK:3 REVERSE SWITCH INDICATION|5=1EGK:1 EASTBOUND SIGNAL INDICATION|6=1WGK:1 WESTBOUND SIGNAL INDICATION|7=1WNSSK:1W SIGNAL NEAR SIDE SIGNAL INDICATION|8=1TEK:1 SIGNAL INTIME INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
track,200122,200002,1TK,MAIN,MAIN,7,TCTL,control,0;1;200002;0007,0;1;200002;0007,1,code_line_station_control_point_bit,4,0,1,200002,0007,C,7,7,0007,48,48,0,component_codeline,7,48,1=1NWS:1 NORMAL SWITCH CONTROL|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:DERAIL POSITION|4=3RWS:RAILMOVEMENT POSITION|5=1EGHS:1 EASTBOUND SIGNAL CONTROL|6=1WGHS:1 WESTBOUND SIGNAL CONTROL|7=1WNSSZ:1W SIGNAL NEAR SIDE SIGNAL CONTROL|8=BLANK:BLANK CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
track,200122,200002,1TK,MAIN,MAIN,7,TIND,indication,0;1;200002;0007,0;1;200002;0007,1,code_line_station_control_point_bit,4,0,1,200002,0007,I,7,7,0007,48,48,0,component_codeline,7,48,1=1NWK:1 NORMAL SWITCH INDICATION|2=1RWK:1 REVERSE SWITCH INDICATION|3=3NWK:RAILMOVEMENT INDICATION|4=3RWK:3 REVERSE SWITCH INDICATION|5=1EGK:1 EASTBOUND SIGNAL INDICATION|6=1WGK:1 WESTBOUND SIGNAL INDICATION|7=1WNSSK:1W SIGNAL NEAR SIDE SIGNAL INDICATION|8=1TEK:1 SIGNAL INTIME INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
track,200125,200002,1TK,MAIN,MAIN,7,PCTL,control,0;1;200002;0007,0;1;200002;0007,1,code_line_station_control_point_bit,4,0,1,200002,0007,C,7,7,0007,48,48,0,component_codeline,7,48,1=1NWS:1 NORMAL SWITCH CONTROL|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:DERAIL POSITION|4=3RWS:RAILMOVEMENT POSITION|5=1EGHS:1 EASTBOUND SIGNAL CONTROL|6=1WGHS:1 WESTBOUND SIGNAL CONTROL|7=1WNSSZ:1W SIGNAL NEAR SIDE SIGNAL CONTROL|8=BLANK:BLANK CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
track,200125,200002,1TK,MAIN,MAIN,7,SCTL,control,0;1;200002;0007,0;1;200002;0007,1,code_line_station_control_point_bit,4,0,1,200002,0007,C,7,7,0007,48,48,0,component_codeline,7,48,1=1NWS:1 NORMAL SWITCH CONTROL|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:DERAIL POSITION|4=3RWS:RAILMOVEMENT POSITION|5=1EGHS:1 EASTBOUND SIGNAL CONTROL|6=1WGHS:1 WESTBOUND SIGNAL CONTROL|7=1WNSSZ:1W SIGNAL NEAR SIDE SIGNAL CONTROL|8=BLANK:BLANK CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
track,200125,200002,1TK,MAIN,MAIN,7,SIND,indication,0;1;200002;0007,0;1;200002;0007,1,code_line_station_control_point_bit,4,0,1,200002,0007,I,7,7,0007,48,48,0,component_codeline,7,48,1=1NWK:1 NORMAL SWITCH INDICATION|2=1RWK:1 REVERSE SWITCH INDICATION|3=3NWK:RAILMOVEMENT INDICATION|4=3RWK:3 REVERSE SWITCH INDICATION|5=1EGK:1 EASTBOUND SIGNAL INDICATION|6=1WGK:1 WESTBOUND SIGNAL INDICATION|7=1WNSSK:1W SIGNAL NEAR SIDE SIGNAL INDICATION|8=1TEK:1 SIGNAL INTIME INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
track,200125,200002,1TK,MAIN,MAIN,7,TCTL,control,0;1;200002;0007,0;1;200002;0007,1,code_line_station_control_point_bit,4,0,1,200002,0007,C,7,7,0007,48,48,0,component_codeline,7,48,1=1NWS:1 NORMAL SWITCH CONTROL|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:DERAIL POSITION|4=3RWS:RAILMOVEMENT POSITION|5=1EGHS:1 EASTBOUND SIGNAL CONTROL|6=1WGHS:1 WESTBOUND SIGNAL CONTROL|7=1WNSSZ:1W SIGNAL NEAR SIDE SIGNAL CONTROL|8=BLANK:BLANK CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
track,200125,200002,1TK,MAIN,MAIN,7,TIND,indication,0;1;200002;0007,0;1;200002;0007,1,code_line_station_control_point_bit,4,0,1,200002,0007,I,7,7,0007,48,48,0,component_codeline,7,48,1=1NWK:1 NORMAL SWITCH INDICATION|2=1RWK:1 REVERSE SWITCH INDICATION|3=3NWK:RAILMOVEMENT INDICATION|4=3RWK:3 REVERSE SWITCH INDICATION|5=1EGK:1 EASTBOUND SIGNAL INDICATION|6=1WGK:1 WESTBOUND SIGNAL INDICATION|7=1WNSSK:1W SIGNAL NEAR SIDE SIGNAL INDICATION|8=1TEK:1 SIGNAL INTIME INDICATION,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
track,200134,200002,3EABK,ESCON CON TRACK,NOTHING,7,PCTL,control,0;1;200002;0007,0;1;200002;0007,1,code_line_station_control_point_bit,4,0,1,200002,0007,C,7,7,0007,48,48,0,component_codeline,7,48,1=1NWS:1 NORMAL SWITCH CONTROL|2=1RWS:1 REVERSE SWITCH CONTROL|3=3NWS:DERAIL POSITION|4=3RWS:RAILMOVEMENT POSITION|5=1EGHS:1 EASTBOUND SIGNAL CONTROL|6=1WGHS:1 WESTBOUND SIGNAL CONTROL|7=1WNSSZ:1W SIGNAL NEAR SIDE SIGNAL CONTROL|8=BLANK:BLANK CONTROL,component_codeline+unique_cp_line,False,0,,scoped_zero_first_without_resolved_sibling
track,200134,200002,3EABK,ESCON CON TRACK,NOTHING,7,QCTL,control,0;1;0;0000,0;1;0;0000,1,code_line_station_control_point_bit,4,0,1,0,0000,C,7,,0000,0,0,0,,,0,,none,False,0,,unscoped_zero_first_without_resolved_sibling
