component_family,assignment_owner_type,reference_column,reference_kind,reference_format,raw_reference_value,subdivision_name,row_count,distinct_component_count,distinct_parent_control_point_count,distinct_component_codeline_count,component_codelines,cp_alignment_values,trailing_alignment_values,station_names,sample_component_paths
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100006,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP MESA,MESA:MESA
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100007,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP ROSE,ROSE:ROSE
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100008,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP BROADWAY,BROADWAY:BROADWAY
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100010,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP SORRENTO,SORRENTO:SORRENTO
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100011,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP PACIFIC,PACIFIC:PACIFIC
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100012,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP SHELL,SHELL:SHELL
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100013,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP ESCONDIDO JCT,ESCONDIDO JCT:ESCONDIDO JCT
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100015,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP SCRIPPS,SCRIPPS:SCRIPPS
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100017,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP FARR,FARR:FARR
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100018,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP PONTO,PONTO:PONTO
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100019,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP SWAMI,SWAMI:SWAMI
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100020,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP CARDIFF,CARDIFF:CARDIFF
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100022,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP VALLEY,VALLEY:VALLEY
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100023,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP CROSBY,CROSBY:CROSBY
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100024,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP DEL MAR,DEL MAR:DEL MAR
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,0;1;100025,SAN DIEGO,1,1,1,1,5,same_cp,blank,CP TORREY,TORREY:TORREY
