component_family,component_uid,parent_control_point_uid,component_name,component_secondary_name,component_detail_name,component_codeline,reference_column,reference_kind,raw_reference_value,raw_reference_part,part_index,reference_format,code_line_number,code_station_number,control_point_number,expected_word_type,code_line_name,code_line_limits,station_name,control_address,indication_address,candidate_assignment_count,candidate_bits,candidate_mnemonics,candidate_long_names,candidate_examples,scope_status
control_point,100005,100005,STUART,NULL,CP Stuart,5,CPIND10,indication,0;1;100005,0;1;100005,1,code_line_station_control_point,0,1,100005,I,,,,,,0,,,,,no_scope_candidates
control_point,100005,100005,STUART,NULL,CP Stuart,5,CPIND2,indication,8;1;100005,8;1;100005,1,code_line_station_control_point,8,1,100005,I,,,,,,0,,,,,no_scope_candidates
control_point,100005,100005,STUART,NULL,CP Stuart,5,CPIND3,indication,13;1;100005,13;1;100005,1,code_line_station_control_point,13,1,100005,I,,,,,,0,,,,,no_scope_candidates
control_point,100005,100005,STUART,NULL,CP Stuart,5,CPIND4,indication,11;1;100005,11;1;100005,1,code_line_station_control_point,11,1,100005,I,,,,,,0,,,,,no_scope_candidates
control_point,100005,100005,STUART,NULL,CP Stuart,5,CPIND5,indication,0;1;100005,0;1;100005,1,code_line_station_control_point,0,1,100005,I,,,,,,0,,,,,no_scope_candidates
control_point,100005,100005,STUART,NULL,CP Stuart,5,CPIND6,indication,0;1;100005,0;1;100005,1,code_line_station_control_point,0,1,100005,I,,,,,,0,,,,,no_scope_candidates
control_point,100005,100005,STUART,NULL,CP Stuart,5,CPIND7,indication,0;1;100005,0;1;100005,1,code_line_station_control_point,0,1,100005,I,,,,,,0,,,,,no_scope_candidates
control_point,100005,100005,STUART,NULL,CP Stuart,5,CPIND8,indication,0;1;100005,0;1;100005,1,code_line_station_control_point,0,1,100005,I,,,,,,0,,,,,no_scope_candidates
control_point,100005,100005,STUART,NULL,CP Stuart,5,CPIND9,indication,0;1;100005,0;1;100005,1,code_line_station_control_point,0,1,100005,I,,,,,,0,,,,,no_scope_candidates
control_point,100005,100005,STUART,NULL,CP Stuart,5,ScadaAlarmReportingIndicationBit,indication,0;1;100005,0;1;100005,1,code_line_station_control_point,0,1,100005,I,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPCTL1,control,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,C,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPCTL2,control,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,C,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPCTL3,control,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,C,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPCTL4,control,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,C,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPCTL5,control,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,C,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPIND1,indication,9;1;100006,9;1;100006,1,code_line_station_control_point,9,1,100006,I,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPIND10,indication,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,I,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPIND2,indication,8;1;100006,8;1;100006,1,code_line_station_control_point,8,1,100006,I,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPIND3,indication,13;1;100006,13;1;100006,1,code_line_station_control_point,13,1,100006,I,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPIND4,indication,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,I,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPIND5,indication,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,I,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPIND6,indication,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,I,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPIND7,indication,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,I,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPIND8,indication,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,I,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,CPIND9,indication,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,I,,,,,,0,,,,,no_scope_candidates
control_point,100006,100006,MESA,NULL,CP Mesa,5,ScadaAlarmReportingIndicationBit,indication,0;1;100006,0;1;100006,1,code_line_station_control_point,0,1,100006,I,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPCTL1,control,0;1;100007,0;1;100007,1,code_line_station_control_point,0,1,100007,C,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPCTL2,control,0;1;100007,0;1;100007,1,code_line_station_control_point,0,1,100007,C,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPCTL3,control,0;1;100007,0;1;100007,1,code_line_station_control_point,0,1,100007,C,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPCTL4,control,0;1;100007,0;1;100007,1,code_line_station_control_point,0,1,100007,C,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPCTL5,control,0;1;100007,0;1;100007,1,code_line_station_control_point,0,1,100007,C,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPIND1,indication,9;1;100007,9;1;100007,1,code_line_station_control_point,9,1,100007,I,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPIND10,indication,0;1;100007,0;1;100007,1,code_line_station_control_point,0,1,100007,I,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPIND2,indication,8;1;100007,8;1;100007,1,code_line_station_control_point,8,1,100007,I,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPIND3,indication,13;1;100007,13;1;100007,1,code_line_station_control_point,13,1,100007,I,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPIND4,indication,11;1;100007,11;1;100007,1,code_line_station_control_point,11,1,100007,I,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPIND5,indication,0;1;100007,0;1;100007,1,code_line_station_control_point,0,1,100007,I,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPIND6,indication,0;1;100007,0;1;100007,1,code_line_station_control_point,0,1,100007,I,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPIND7,indication,0;1;100007,0;1;100007,1,code_line_station_control_point,0,1,100007,I,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPIND8,indication,0;1;100007,0;1;100007,1,code_line_station_control_point,0,1,100007,I,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,CPIND9,indication,0;1;100007,0;1;100007,1,code_line_station_control_point,0,1,100007,I,,,,,,0,,,,,no_scope_candidates
control_point,100007,100007,ROSE,NULL,CP Rose,5,ScadaAlarmReportingIndicationBit,indication,0;1;100007,0;1;100007,1,code_line_station_control_point,0,1,100007,I,,,,,,0,,,,,no_scope_candidates
control_point,100008,100008,BROADWAY,NULL,CP Broadway,5,CPCTL1,control,0;1;100008,0;1;100008,1,code_line_station_control_point,0,1,100008,C,,,,,,0,,,,,no_scope_candidates
control_point,100008,100008,BROADWAY,NULL,CP Broadway,5,CPCTL2,control,0;1;100008,0;1;100008,1,code_line_station_control_point,0,1,100008,C,,,,,,0,,,,,no_scope_candidates
control_point,100008,100008,BROADWAY,NULL,CP Broadway,5,CPCTL3,control,0;1;100008,0;1;100008,1,code_line_station_control_point,0,1,100008,C,,,,,,0,,,,,no_scope_candidates
control_point,100008,100008,BROADWAY,NULL,CP Broadway,5,CPCTL4,control,0;1;100008,0;1;100008,1,code_line_station_control_point,0,1,100008,C,,,,,,0,,,,,no_scope_candidates
control_point,100008,100008,BROADWAY,NULL,CP Broadway,5,CPCTL5,control,0;1;100008,0;1;100008,1,code_line_station_control_point,0,1,100008,C,,,,,,0,,,,,no_scope_candidates
control_point,100008,100008,BROADWAY,NULL,CP Broadway,5,CPIND1,indication,17;1;100008,17;1;100008,1,code_line_station_control_point,17,1,100008,I,,,,,,0,,,,,no_scope_candidates
control_point,100008,100008,BROADWAY,NULL,CP Broadway,5,CPIND10,indication,0;1;100008,0;1;100008,1,code_line_station_control_point,0,1,100008,I,,,,,,0,,,,,no_scope_candidates
control_point,100008,100008,BROADWAY,NULL,CP Broadway,5,CPIND2,indication,8;1;100008,8;1;100008,1,code_line_station_control_point,8,1,100008,I,,,,,,0,,,,,no_scope_candidates
control_point,100008,100008,BROADWAY,NULL,CP Broadway,5,CPIND3,indication,19;1;100008,19;1;100008,1,code_line_station_control_point,19,1,100008,I,,,,,,0,,,,,no_scope_candidates
control_point,100008,100008,BROADWAY,NULL,CP Broadway,5,CPIND4,indication,18;1;100008,18;1;100008,1,code_line_station_control_point,18,1,100008,I,,,,,,0,,,,,no_scope_candidates
