component_family,component_uid,parent_control_point_uid,component_name,component_secondary_name,component_detail_name,component_codeline,reference_column,reference_kind,raw_reference_value,raw_reference_part,part_index,reference_format,code_line_number,code_station_number,control_point_number,bit_position,token_1,token_2,token_3,token_4,expected_word_type,resolved_code_line_number,resolved_code_station_number,resolved_control_point_number,resolved_bp_assignment,resolved_word_type,resolved_mnemonic,resolved_long_name,resolved_bit_type,resolved_assignment_uid,match_status,resolution_method,is_default_zero_reference
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL11,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL12,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL13,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL2,control,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,C,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL3,control,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,C,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL4,control,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,C,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL5,control,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,C,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL6,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL7,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL8,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPCTL9,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND1,indication,9;1;100001,9;1;100001,1,code_line_station_control_point,9,1,100001,,9,1,100001,,I,5,1,100001,9,I,LCK,LOCAL CONTROL,None,BF20230D-33F8-4772-9B54-6080EEF28E4C,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND10,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,I,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND11,indication,0;0;100001;5,0;0;100001;5,1,code_line_station_control_point_bit,0,0,100001,5,0,0,100001,5,I,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND12,indication,0;0;100001;5,0;0;100001;5,1,code_line_station_control_point_bit,0,0,100001,5,0,0,100001,5,I,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND13,indication,0;0;100001;5,0;0;100001;5,1,code_line_station_control_point_bit,0,0,100001,5,0,0,100001,5,I,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND2,indication,8;1;100001,8;1;100001,1,code_line_station_control_point,8,1,100001,,8,1,100001,,I,5,1,100001,8,I,POK,POWER OFF INDICATION,None,3DF098F1-ED65-4632-BD3B-088DDAA2AED9,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND3,indication,13;1;100001,13;1;100001,1,code_line_station_control_point,13,1,100001,,13,1,100001,,I,5,1,100001,13,I,LOK,LIGHT OUT INDICATION,None,A44CF443-D968-44DF-8266-343E0F1C5859,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND4,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,I,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND5,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,I,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND6,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,I,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND7,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,I,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND8,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,I,,,,,,,,,,unresolved,,False
control_point,100001,100001,SONGS,NULL,CP Songs,5,CPIND9,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,I,,,,,,,,,,unresolved,,False
