route_guid,system_uid,control_point_uid,control_point_name,entry_signal_uid,entry_signal_name,exit_signal_uid,exit_signal_name,switch_uid,switch_name,switch_tooltip_name,required_state,switch_order,switch_list_raw
200@100,0EC9E7042A,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100264,4W-SIGNAL,100756,5-SWITCH,5-SWITCH,TRUE,5,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
200@100,0EC9E7042A,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100264,4W-SIGNAL,100773,5-SWITCH,5X,TRUE,6,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
200@100,0EC9E7042A,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100264,4W-SIGNAL,100779,1-SWITCH,1-SWITCH,TRUE,7,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
200@100,0EC9E7042A,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100264,4W-SIGNAL,100782,1-SWITCH,1X,TRUE,8,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
043@100,B1E20B3CF6,100015,SCRIPPS,100826,1W-SIGNAL,100819,2E-SIGNAL,100825,1-SWITCH,1-SWITCH,FALSE,1,100825;1-SWITCH;FALSE
080@100,E6A9E9B386,100015,SCRIPPS,100826,1W-SIGNAL,100818,2E-SIGNAL,100825,1-SWITCH,1-SWITCH,TRUE,1,100825;1-SWITCH;TRUE
141@100,97E0C9D029,100015,SCRIPPS,100818,2E-SIGNAL,100826,1W-SIGNAL,100825,1-SWITCH,1-SWITCH,TRUE,1,100825;1-SWITCH;TRUE
142@100,B90111CCB8,100015,SCRIPPS,100819,2E-SIGNAL,100826,1W-SIGNAL,100825,1-SWITCH,1-SWITCH,FALSE,1,100825;1-SWITCH;FALSE
019@100,05B3CA17D3,100016,LONGBOARD,100313,1-SIGNAL,100306,6-SIGNAL,100312,1-SWITCH,1-SWITCH,FALSE,1,100312;2-SWITCH;FALSE
064@100,6CAA1F3D30,100016,LONGBOARD,100313,1-SIGNAL,100307,6-SIGNAL,100312,1-SWITCH,1-SWITCH,TRUE,1,100312;2-SWITCH;TRUE
111@100,8FA5006163,100016,LONGBOARD,100306,6-SIGNAL,100313,1-SIGNAL,100312,1-SWITCH,1-SWITCH,FALSE,1,100312;2-SWITCH;FALSE
112@100,F02CB1DC42,100016,LONGBOARD,100307,6-SIGNAL,100313,1-SIGNAL,100312,1-SWITCH,1-SWITCH,TRUE,1,100312;2-SWITCH;TRUE
