control_point_uid,subdivision_name,codeline,shared_anchor_raw,switch_count,type_of_switch_values,switch_point_monitor_mode_values,tctl_non_anchor_switch_count,switch_blk_nondefault_switch_count,switch_block_control_nondefault_switch_count,switch_block_control_resolved_switch_count,switch_block_control_unresolved_switch_count,switch_examples,tctl_non_anchor_examples,switch_block_control_resolved_mnemonics,pctl_resolved_mnemonics,sctl_resolved_mnemonics,pind_resolved_mnemonics,sind_resolved_mnemonics
100008,SAN DIEGO,5,0;1;100008,3,NORMAL,False,0,0,0,0,0,100469:5-SWITCH|100472:1-SWITCH|100477:3-SWITCH,,,1NWS|3NWS|5NWS,1RWS|3RWS|5RWS,1NWK|3NWK|5NWK,1RWK|3RWK|5RWK
100009,SAN DIEGO,5,0;1;100009,5,NORMAL|SPM ONLY,False|True,0,0,0,0,0,100220:1-SWITCH|100592:EAST LEG FALLBROOK YARD|100597:WEST LEG FALLBROOK YARD|100598:WEST LEG LEMON GROVE WYE|100599:EAST LEG LEMON GROVE WYE,,,NWS,RWS,NWK,RWK
100010,SAN DIEGO,5,0;1;100010,2,NORMAL,False,0,0,0,0,0,100641:1-SWITCH|100642:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
100011,SAN DIEGO,5,0;1;100011,1,NORMAL,False,0,0,0,0,0,100708:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
100012,SAN DIEGO,5,0;1;100012,1,NORMAL,False,0,0,0,0,0,100253:1-SWITCH,,,NWS,RWS,NWK,RWK
100013,SAN DIEGO,5,0;1;100013,9,NORMAL|SPM ONLY,False|True,0,0,0,0,0,100241:EAST LEG ESCONDIDO JCT|100275:3-SWITCH|100286:3-SWITCH|100732:7-SWITCH|100735:7-SWITCH|100756:5-SWITCH|100773:5-SWITCH|100779:1-SWITCH|100782:1-SWITCH,,,1NWS|3NWS|5NWS|7NWS,1RWS|3RWS|5RWS|7RWS,1NWK|3NWK|5NWK|7NWK,1RWK|3RWK|5RWK|7RWK
100015,SAN DIEGO,5,0;1;100015,1,NORMAL,False,0,0,0,0,0,100825:1-SWITCH,,,NWS,RWS,NWK,1RWK
100016,SAN DIEGO,5,0;1;100016,1,NORMAL,False,0,0,0,0,0,100312:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
100017,SAN DIEGO,5,0;1;100017,5,NORMAL|SPM ONLY,False|True,0,0,0,0,0,100243:SDGE HOUSE TRACK|100767:3-SWITCH|100901:1-SWITCH|100902:1-SWITCH|100903:3-SWITCH,,,3NWS|NWS,1RWS|3RWS,1NWK|3NWK,1RWK|3RWK
100018,SAN DIEGO,5,0;1;100018,2,NORMAL|SPM ONLY,False|True,0,0,0,0,0,100236:PONTO HOUSE TRACK|100333:1-SWITCH,,,NWS,RWS,NWKR,RWKR
100019,SAN DIEGO,5,0;1;100019,1,NORMAL,False,0,0,0,0,0,100353:1-SWITCH,,,NWS,RWS,NWK,RWK
100020,SAN DIEGO,5,0;1;100020,4,NORMAL,False,0,0,0,0,0,100881:1-SWITCH|100888:3-SWITCH|100912:1-SWITCH|100914:3-SWITCH,,,1NWS|3NWS,1RWS|3RWS,1NWK|3NWK,1RWK|3RWK
100022,SAN DIEGO,5,0;1;100022,1,NORMAL,False,0,0,0,0,0,100385:1-SWITCH,,,NWS,RWS,NWK,RWK
100023,SAN DIEGO,5,0;1;100023,1,NORMAL,False,0,0,0,0,0,100899:1-SWITCH,,,NWS,RWS,NWK,RWK
100024,SAN DIEGO,5,0;1;100024,1,NORMAL,False,0,0,0,0,0,100407:1-SWITCH,,,NWS,RWS,NWK,RWK
100025,SAN DIEGO,5,0;1;100025,1,NORMAL,False,0,0,0,0,0,100187:1-SWITCH,,,1NWS,1 RWS,1NWK,1RWK
100027,SAN DIEGO,5,0;1;100027,3,NORMAL|SPM ONLY,False|True,0,0,0,0,0,100443:1-SWITCH|100459:3-SWITCH|100601:MIRAMAR WYE,,,1NWS|3NWS,1RWS|3RWS,1NWK|3NWK,1RWK|3RWK
100033,SAN DIEGO,5,0;1;100033,6,NORMAL,False,0,0,0,0,0,100518:1-SWITCH|100519:3-SWITCH|100529:1-SWITCH|100530:3-SWITCH|100533:5-SWITCH|100535:7-SWITCH,,,1NWS|3NWS|5NWS|7NWS,1RWS|3RWS|5RWS|7RWS,1NWK|3NWK|5NWK|7NWK,1RWK|3RWK|5RWK|7RWK
100035,SAN DIEGO,5,0;1;100035,2,NORMAL,False,0,0,0,0,0,100623:1-SWITCH|100624:1-SWITCH,,,1NWS,1RWS,1NWK,1RWK
