switch_uid,control_point_uid,subdivision_name,codeline,switch_name,track_name,type_of_switch,switch_point_monitor_mode,switch_lock_no_control,rcps_flag,rcps_control_token_count,rcps_control_distinct_token_count,rcps_control_distinct_tokens,rcps_control_all_tokens_same,rcps_indication_token_count,rcps_indication_distinct_token_count,rcps_indication_distinct_tokens,rcps_indication_all_tokens_same,lock_bit_raw,switch_block_bit_raw,pctl_resolved_count,pctl_unresolved_count,pctl_resolved_mnemonics,pind_resolved_count,pind_resolved_mnemonics,sctl_resolved_count,sctl_unresolved_count,sctl_resolved_mnemonics,sind_resolved_count,sind_resolved_mnemonics,tctl_unresolved_count,tind_unresolved_count,lockbit_unresolved_count,switchblk_default_zero_count
100285,100004,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100004,True,5,1,0;1;100004,True,0;1;100004,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100295,100004,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100004,True,5,1,0;1;100004,True,0;1;100004,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100166,100005,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100005,True,5,1,0;1;100005,True,0;1;100005,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100679,100005,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100005,True,5,1,0;1;100005,True,0;1;100005,0;0;0,1,1,NWS,1,NWK,1,1,RWS,1,1RWK,2,1,1,1
100684,100005,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100005,True,5,1,0;1;100005,True,0;1;100005,0;0;0,1,1,NWS,1,NWK,1,1,RWS,1,1RWK,2,1,1,1
100695,100005,SAN DIEGO,5,3-SWITCH,MT2,DERAIL,False,False,False,4,1,0;1;100005,True,5,1,0;1;100005,True,0;1;100005,0;0;0,0,2,,1,3RWK,0,2,,1,3NWK,2,1,1,1
100647,100006,SAN DIEGO,5,1-SWITCH,MT2,DERAIL,False,False,False,4,1,0;1;100006,True,5,1,0;1;100006,True,0;1;100006,0;0;0,0,2,,1,1RWK,0,2,,1,1NWK,2,1,1,1
100665,100006,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100006,True,5,1,0;1;100006,True,0;1;100006,0;0;0,1,1,NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100674,100006,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100006,True,5,1,0;1;100006,True,0;1;100006,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100675,100006,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100006,True,5,1,0;1;100006,True,0;1;100006,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100341,100007,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100007,True,5,1,0;1;100007,True,0;1;100007,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100343,100007,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100007,True,5,1,0;1;100007,True,0;1;100007,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100412,100007,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100007,True,5,1,0;1;100007,True,0;1;100007,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100413,100007,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100007,True,5,1,0;1;100007,True,0;1;100007,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100469,100008,SAN DIEGO,5,5-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100008,True,5,1,0;1;100008,True,0;1;100008,0;0;0,1,1,5NWS,1,5NWK,1,1,5RWS,1,5RWK,2,1,1,1
100472,100008,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100008,True,5,1,0;1;100008,True,0;1;100008,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100477,100008,SAN DIEGO,5,3-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100008,True,5,1,0;1;100008,True,0;1;100008,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100220,100009,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100009,True,5,1,0;1;100009,True,0;1;100009,0;0;0,1,1,NWS,1,NWK,1,1,RWS,1,RWK,2,1,1,1
100592,100009,SAN DIEGO,5,EAST LEG FALLBROOK YARD,MAIN1,SPM ONLY,True,False,False,4,1,0;1;100009,True,5,1,0;1;100009,True,0;1;100009,0;0;0,0,2,,0,,0,2,,0,,2,1,1,1
