component_family,assignment_owner_type,component_uid,component_name,component_secondary_name,component_detail_name,parent_control_point_uid,parent_control_point_name,ptc_site_name,subdivision_uid,subdivision_name,territory_assignment,station_name,component_codeline,station_code_line_number,station_code_line_name,station_code_station_number,reference_column,reference_kind,slot_number,raw_reference_value,raw_reference_part,reference_format,match_status,resolution_method,resolved_code_line_number,resolved_code_station_number,resolved_control_point_number,resolved_bp_assignment,resolved_mnemonic,resolved_long_name,resolved_bit_type,misc_type,misc_type_of_device,misc_device_category,misc_secondary_text,misc_device_control,misc_control_only,misc_indicate_only,misc_flash_control,misc_flash_indicate,misc_scada_mode,misc_track_interlock_mode
misc_device,misc_device_cp_slot,200780,1119POK,IndicateOnly,NONE;-1,200014,BUENA CREEK,,1,ESCONDIDO,200,BUENA CREEK,19,19,CDLN-19,1,CPCTL2,control,2,0;1;200014;,0;1;200014;,code_line_station_control_point,unresolved,,,,,,,,,D,IndicateOnly,,NONE;-1,;-;,False,False,False,False,False,False
misc_device,misc_device_cp_slot,200780,1119POK,IndicateOnly,NONE;-1,200014,BUENA CREEK,,1,ESCONDIDO,200,BUENA CREEK,19,19,CDLN-19,1,CPCTL3,control,3,0;1;200014;,0;1;200014;,code_line_station_control_point,unresolved,,,,,,,,,D,IndicateOnly,,NONE;-1,;-;,False,False,False,False,False,False
misc_device,misc_device_cp_slot,200780,1119POK,IndicateOnly,NONE;-1,200014,BUENA CREEK,,1,ESCONDIDO,200,BUENA CREEK,19,19,CDLN-19,1,CPIND1,indication,1,19;1;200014;19,19;1;200014;19,code_line_station_control_point_bit,resolved,explicit_code_line_station_control_point_bp_assignment,19,1,200014,19,1119POK,1119POK,None,D,IndicateOnly,,NONE;-1,;-;,False,False,False,False,False,False
misc_device,misc_device_cp_slot,200780,1119POK,IndicateOnly,NONE;-1,200014,BUENA CREEK,,1,ESCONDIDO,200,BUENA CREEK,19,19,CDLN-19,1,CPIND2,indication,2,0;1;200014;0001,0;1;200014;0001,code_line_station_control_point_bit,unresolved,,,,,,,,,D,IndicateOnly,,NONE;-1,;-;,False,False,False,False,False,False
misc_device,misc_device_cp_slot,200780,1119POK,IndicateOnly,NONE;-1,200014,BUENA CREEK,,1,ESCONDIDO,200,BUENA CREEK,19,19,CDLN-19,1,CPIND3,indication,3,0;1;200014;0001,0;1;200014;0001,code_line_station_control_point_bit,unresolved,,,,,,,,,D,IndicateOnly,,NONE;-1,;-;,False,False,False,False,False,False
misc_device,misc_device_cp_slot,200781,1128POK,IndicateOnly,NONE;-1,200014,BUENA CREEK,,1,ESCONDIDO,200,BUENA CREEK,19,19,CDLN-19,1,CPCTL1,control,1,0;1;200014;,0;1;200014;,code_line_station_control_point,unresolved,,,,,,,,,D,IndicateOnly,,NONE;-1,;-;,False,False,False,False,False,False
misc_device,misc_device_cp_slot,200781,1128POK,IndicateOnly,NONE;-1,200014,BUENA CREEK,,1,ESCONDIDO,200,BUENA CREEK,19,19,CDLN-19,1,CPCTL2,control,2,0;1;200014;,0;1;200014;,code_line_station_control_point,unresolved,,,,,,,,,D,IndicateOnly,,NONE;-1,;-;,False,False,False,False,False,False
misc_device,misc_device_cp_slot,200781,1128POK,IndicateOnly,NONE;-1,200014,BUENA CREEK,,1,ESCONDIDO,200,BUENA CREEK,19,19,CDLN-19,1,CPCTL3,control,3,0;1;200014;,0;1;200014;,code_line_station_control_point,unresolved,,,,,,,,,D,IndicateOnly,,NONE;-1,;-;,False,False,False,False,False,False
misc_device,misc_device_cp_slot,200781,1128POK,IndicateOnly,NONE;-1,200014,BUENA CREEK,,1,ESCONDIDO,200,BUENA CREEK,19,19,CDLN-19,1,CPIND1,indication,1,21;1;200014;19,21;1;200014;19,code_line_station_control_point_bit,resolved,inferred_bp_assignment_station_control_point_with_trailing_code_line,19,1,200014,21,1128POK,1128POK,None,D,IndicateOnly,,NONE;-1,;-;,False,False,False,False,False,False
misc_device,misc_device_cp_slot,200781,1128POK,IndicateOnly,NONE;-1,200014,BUENA CREEK,,1,ESCONDIDO,200,BUENA CREEK,19,19,CDLN-19,1,CPIND2,indication,2,0;1;200014;0001,0;1;200014;0001,code_line_station_control_point_bit,unresolved,,,,,,,,,D,IndicateOnly,,NONE;-1,;-;,False,False,False,False,False,False
