symbol,train_guid,engine_id,direction,train_type,origin,dest,subdivision,track_guid,track_component_name,track_name,track_alias,track_route_name,control_point_name,schedule_status,ptc_status,bulletin_route_code,authority_designation,ctc_authority_designation,home_road_code,active_sub_train_sheet,authority_count_by_symbol,runtime_join_status,runtime_loco_id,runtime_train_symbol,runtime_last_updated,runtime_icd_interface_version,runtime_departure_test_status,runtime_onboard_software_version,runtime_head_end_track_name,runtime_departure_track_name,runtime_departure_location_name
A761,13436b8b-5570-4688-bc75-341af7212463,AMTK 6904,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,2,100156,SHELF,MT1,MT1,ROUTE NAME,ASH,NONE,,SANDIE,,,AMTK,D4FDEE27-878E-40FA-BB17-26F44A28906B,0,exact_engine_to_loco_match,AMTK 6904,,2026-03-23 오후 6:57:08,BOS_ICD_3_0,,,,,
A765,6f64852d-003a-41eb-8eee-a99496dc34d5,AMTK 6908,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,2,100156,SHELF,MT1,MT1,ROUTE NAME,ASH,NONE,,SANDIE,,,AMTK,984FC0DE-4BBB-4995-8FAC-FE7D9CEF739D,0,exact_engine_to_loco_match,AMTK 6908,,2026-03-23 오후 3:53:09,BOS_ICD_3_0,,,,,
A769,ad5beb94-288a-4f77-906a-d7c7a7b626ea,X,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,2,100156,SHELF,MT1,MT1,ROUTE NAME,ASH,NONE,,SANDIE,,,AMTK,DCE9D909-1FAB-431D-8CF6-5296E9D75C91,0,engine_id_without_runtime_match,,,,,,,,,
A770,f9bac046-2be5-4cf9-8d00-b24060ff0338,X,EAST,COMMUTER,LOS ANGELES,SAN DIEGO,2,100921,SHELF,MT1,MT1,ROUTE NAME,SONGS,NONE,,SANDIE,,,AMTK,90BD8C83-7897-4069-812B-67B10FD2E364,0,engine_id_without_runtime_match,,,,,,,,,
A774,1ef5bdf9-6f1e-4f8f-967c-09bd698d5c7a,,EAST,COMMUTER,LOS ANGELES,SAN DIEGO,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,EB782479-5D71-4F05-B2E7-D028DB84D2AF,0,no_engine_id,,,,,,,,,
A777,1f733ec4-228a-4851-881c-54856df38ab7,X,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,2,100156,SHELF,MT1,MT1,ROUTE NAME,ASH,NONE,,SANDIE,,,AMTK,81F67928-C2CD-438F-8453-65570504D6D5,0,engine_id_without_runtime_match,,,,,,,,,
A782,d939a007-9cc4-48d6-a521-4b55c3c095b3,,EAST,COMMUTER,LOS ANGELES,SAN DIEGO,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,2CFBE3C7-4E90-4353-9588-111FD63834EF,0,no_engine_id,,,,,,,,,
A785,f0777156-34d4-4bf4-bffc-59d2877bc95f,X,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,2,100156,SHELF,MT1,MT1,ROUTE NAME,ASH,NONE,,SANDIE,,,AMTK,7953175C-EB51-4B83-87E4-88CA19831306,0,engine_id_without_runtime_match,,,,,,,,,
A790,172d988e-fe48-44ea-b49b-ac713ed9383f,,EAST,COMMUTER,LOS ANGELES,SAN DIEGO,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,FC7CA962-122E-4E8B-A8FD-C4BB664187BD,0,no_engine_id,,,,,,,,,
A799,4d3761a7-bea0-44aa-9cc3-440646be75e8,,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,51A7134C-700C-4DDF-9806-2C9002E185B0,0,no_engine_id,,,,,,,,,
