signal_uid,control_point_uid,subdivision_name,codeline,signal_name,tool_tip_name,signal_type,in_time_type,shared_anchor_raw,fleet_control_bit_raw,pctl_secondary_part,sctl_primary_part,sctl_secondary_part,tctl_secondary_part,anchor_equals_fleet,anchor_equals_pctl_secondary,anchor_equals_sctl_primary,anchor_equals_sctl_secondary,anchor_equals_tctl_secondary,core_anchor_all_equal_excluding_sctl_secondary,sctl_secondary_exception,pind_resolved_mnemonics,pind_resolved_long_names,pctl_resolved_mnemonics,pctl_resolved_long_names,sctl_resolved_mnemonics,sctl_resolved_long_names,tctl_resolved_mnemonics,tctl_resolved_long_names,in_time_resolved_mnemonics,in_time_resolved_long_names,call_on_resolved_mnemonics,call_on_resolved_long_names,near_side_ctl_resolved_mnemonics,entry_route_count,exit_route_count,route_total_count
200167,200008,ESCONDIDO,11,1E-SIGNAL,1E-SIGNAL,R,INTIMEBIT,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,True,True,True,True,True,True,False,EC1EGK,MAIN 1 SIGNAL CLEAR,EC1EGHS,MAIN 1 SIGNAL CLEAR,,,,,EC1ETEK,MAIN 1 INTIME,,,EC1EGNS,1,1,2
200172,200008,ESCONDIDO,11,1E-SIGNAL,1E-SIGNAL,R,INTIMEBIT,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,True,True,True,True,True,True,False,EC2EGK,MAIN 2 SIGNAL CLEAR,EC2EGHS,MAIN 2 SIGNAL CLEAR,,,,,EC2ETEK,MAIN 2 INTIME,,,EC2EGNS,1,1,2
200267,200009,ESCONDIDO,14,1E-SIGNAL,1E-SIGNAL,R,INTIMEBIT,0;1;200009;0014,0;1;200009;0014,0;1;200009;0014,0;1;200009;0014,0;1;200009;0014,0;1;200009;0014,True,True,True,True,True,True,False,MEGK,MEGK TRAIN READY,MEGHS,MEGHS TRAIN READY,,,,,METEK,METEK SIGNAL CLEAR,,,MEGNS,2,2,4
200243,200010,ESCONDIDO,15,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,True,True,True,True,True,True,False,EGK,EASTBOUND SIGNAL INDICATION,EGHS,EASTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,2,0,2
200244,200010,ESCONDIDO,15,W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,2,3
200245,200010,ESCONDIDO,15,W-SIGNAL,W-SIGNAL,L,INTIMEBIT,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,True,True,True,True,True,True,False,WGK,WESTBOUND SIGNAL INDICATION,WGHS,WESTBOUND SIGNAL CONTROL,,,,,TEK,SIGNAL INTIME INDICATION,,,,1,2,3
200268,200011,ESCONDIDO,16,E-SIGNAL,E-SIGNAL,R,INTIMEBIT,0;1;200011;0016,0;1;200011;0016,0;1;200011;0016,0;1;200011;0016,0;1;200011;0016,0;1;200011;0016,True,True,True,True,True,True,False,V1EGK,SIGNAL CLEAR,V1EGHS,SIGNAL CLEAR,,,,,V1ETEK,SIGNAL CLEAR,,,V1EGNS,1,1,2
200269,200011,ESCONDIDO,16,1E-SIGNAL,1E-SIGNAL,R,INTIMEBIT,0;1;200011;0016,0;1;200011;0016,0;1;200011;0016,0;1;200011;0016,0;1;200011;0016,0;1;200011;0016,True,True,True,True,True,True,False,V2EGK,SIGNAL CLEAR,V2EGHS,SIGNAL CLEAR,,,,,V2ETEK,SIGNAL CLEAR,,,V2EGNS,1,1,2
200260,200012,ESCONDIDO,17,WBNS ESCONDIDO AVE,WBNS ESCONDIDO AVE,L,INTIMEBIT,0;1;200012;0017,0;1;200012;0017,0;1;200012;0017,0;1;200012;0017,0;1;200012;0017,0;1;200012;0017,True,True,True,True,True,True,False,E2WGK,SIGNAL CLEAR,E2WGHS,SIGNAL CLEAR,,,,,E2WTEK,INTIMEBIT INDICATION,,,E2WGNS,1,1,2
200261,200012,ESCONDIDO,17,WBNS ESCON AVE,WBNS ESCON AVE,L,INTIMEBIT,0;1;200012;0017,0;1;200012;0017,0;1;200012;0017,0;1;200012;0017,0;1;200012;0017,0;1;200012;0017,True,True,True,True,True,True,False,E1WGK,SIGNAL CLEAR,E1WGHS,SIGNAL CLEAR,,,,,E1WTEK,INTIMEBIT INDICATION,,,E1WGNS,1,1,2
